area_id,area_name,c21001c001,c21001c001_moe,c21001c002,c21001c002_moe,c21001c003,c21001c003_moe,c21001c004,c21001c004_moe,c21001c005,c21001c005_moe,c21001c006,c21001c006_moe,c21001c007,c21001c007_moe,c21001c008,c21001c008_moe,c21001c009,c21001c009_moe,c21001c010,c21001c010_moe,c21001c011,c21001c011_moe,c21001c012,c21001c012_moe,c21001c013,c21001c013_moe,c21001c014,c21001c014_moe,c21001c015,c21001c015_moe
1,Southwest,259,128,135,97,111,94,2,45,109,94,24,51,19,55,5,44,124,86,124,86,0,48,124,86,0,48,0,48,0,48
2,Delridge Neighborhoods,187,125,88,83,88,83,0,38,88,83,0,38,0,38,0,38,99,77,99,77,0,38,99,77,0,38,0,38,0,38
3,Greater Duwamish,287,140,117,72,117,72,0,45,117,72,0,45,0,45,0,45,170,106,134,94,0,45,134,94,36,51,0,45,36,51
4,Southeast,232,142,134,123,131,123,0,45,131,123,3,44,0,45,3,44,98,75,81,72,0,45,81,72,17,50,0,45,17,50
5,Central,128,72,59,54,59,54,1,32,58,54,0,34,0,34,0,34,69,56,69,56,0,34,69,56,0,34,0,34,0,34
6,East,698,233,404,155,373,154,45,56,328,149,31,50,0,47,31,50,294,136,294,136,1,45,293,136,0,47,0,47,0,47
7,Northeast,303,144,177,109,177,109,49,70,128,101,0,59,0,59,0,59,126,92,107,82,0,59,107,82,19,71,0,59,19,71
8,North,265,147,103,77,103,77,6,43,97,77,0,43,0,43,0,43,162,91,136,91,0,43,136,91,26,46,0,43,26,46
9,Northwest,503,188,203,103,192,102,11,55,181,101,11,52,8,53,3,53,300,141,255,133,24,66,231,128,45,66,0,54,45,66
10,Ballard,136,84,77,63,60,59,0,43,60,59,17,44,17,44,0,43,59,69,45,65,0,43,45,65,14,47,0,43,14,47
11,Lake Union,447,175,319,158,308,156,31,62,277,150,11,46,11,46,0,42,128,73,112,68,10,43,102,66,16,48,0,42,16,48
12,Magnolia/Queen Anne,374,165,135,80,126,80,5,49,121,82,9,51,0,51,9,51,239,128,172,112,0,51,172,112,67,80,13,53,54,70
13,Downtown,178,108,137,101,137,101,101,89,36,53,0,29,0,29,0,29,41,45,14,32,0,29,14,32,27,44,0,29,27,44
