area_id,area_name,c18121001,c18121001_moe,c18121002,c18121002_moe,c18121003,c18121003_moe,c18121004,c18121004_moe,c18121005,c18121005_moe,c18121006,c18121006_moe,c18121007,c18121007_moe,c18121008,c18121008_moe,c18121009,c18121009_moe,c18121010,c18121010_moe
1,Southwest,33083,820,19421,761,448,144,18973,756,9368,638,380,139,8988,630,4294,450,1000,265,3294,374
2,Delridge Neighborhoods,24086,825,12638,594,291,136,12347,605,7370,557,564,179,6806,543,4078,528,1134,268,2944,415
3,Greater Duwamish,30678,1204,15349,869,385,132,14964,865,9805,754,691,198,9114,735,5524,577,1442,276,4082,485
4,Southeast,30082,1045,14952,817,716,220,14236,800,8789,694,366,137,8423,661,6341,629,1681,322,4660,577
5,Central,21442,798,11806,628,384,134,11422,630,6292,601,432,163,5860,583,3344,472,862,247,2482,391
6,East,40320,1094,20387,868,485,178,19902,867,14633,914,744,208,13889,899,5300,523,1386,313,3914,432
7,Northeast,60263,1735,23477,797,605,173,22872,784,27082,1461,825,232,26257,1419,9704,746,987,232,8717,709
8,North,28770,889,14599,805,485,147,14114,803,9543,654,642,181,8901,646,4628,510,1122,249,3506,439
9,Northwest,50789,1176,27523,976,568,181,26955,973,16551,875,803,217,15748,849,6715,810,1618,318,5097,713
10,Ballard,32669,837,18778,776,454,143,18324,777,10671,762,495,151,10176,747,3220,374,514,177,2706,331
11,Lake Union,37283,1241,19548,887,506,166,19042,883,13701,1047,686,199,13015,1013,4034,635,1170,292,2864,496
12,Magnolia/Queen Anne,44410,1223,25042,854,725,222,24317,843,14290,1041,598,219,13692,1023,5078,534,1124,272,3954,439
13,Downtown,13542,708,6535,519,185,96,6350,511,3954,463,358,161,3596,442,3053,431,1717,290,1336,325
