area_id,area_name,b05011001,b05011001_moe,b05011002,b05011002_moe,b05011003,b05011003_moe,b05011004,b05011004_moe,b05011005,b05011005_moe,b05011006,b05011006_moe,b05011007,b05011007_moe,b05011008,b05011008_moe,b05011009,b05011009_moe,b05011010,b05011010_moe,b05011011,b05011011_moe
1,Southwest,3918,471,1530,323,2388,355,156,96,509,157,231,104,265,113,215,129,131,80,233,115,648,179
2,Delridge Neighborhoods,7843,769,3324,578,4519,560,305,176,858,227,1197,328,865,268,339,135,368,128,215,99,372,135
3,Greater Duwamish,20365,1419,7028,1023,13337,1066,1059,359,2476,527,2772,532,2619,412,1400,338,1099,267,605,182,1307,304
4,Southeast,12957,1020,5652,836,7305,719,471,212,1487,350,1563,333,1541,326,867,259,501,167,251,114,624,160
5,Central,4505,594,2123,493,2382,375,181,104,527,176,594,212,315,126,164,81,128,75,102,64,371,122
6,East,7540,739,4401,624,3139,413,293,189,542,186,457,151,579,180,280,123,162,85,126,71,700,215
7,Northeast,11076,908,5668,685,5408,611,281,140,1116,257,959,208,985,413,482,177,292,125,270,114,1023,204
8,North,8307,838,4425,705,3882,464,263,122,812,245,727,219,571,195,265,135,355,134,191,95,698,201
9,Northwest,9833,835,4429,662,5404,552,183,113,805,234,1029,305,773,198,525,178,574,197,290,106,1225,249
10,Ballard,4212,632,1987,500,2225,357,70,64,268,125,448,164,212,91,266,124,288,125,90,61,583,167
11,Lake Union,5395,681,3376,608,2019,334,224,121,286,115,390,161,351,132,260,117,51,54,150,102,307,117
12,Magnolia/Queen Anne,6644,667,3200,496,3444,467,243,145,721,247,619,221,585,213,276,142,204,114,199,121,597,169
13,Downtown,4763,567,2565,461,2198,392,294,264,443,159,348,126,393,169,245,125,171,90,97,60,207,86
