area_id,area_name,b07003001,b07003001_moe,b07003002,b07003002_moe,b07003003,b07003003_moe,b07003004,b07003004_moe,b07003005,b07003005_moe,b07003006,b07003006_moe,b07003007,b07003007_moe,b07003008,b07003008_moe,b07003009,b07003009_moe,b07003010,b07003010_moe,b07003011,b07003011_moe,b07003012,b07003012_moe,b07003013,b07003013_moe,b07003014,b07003014_moe,b07003015,b07003015_moe,b07003016,b07003016_moe,b07003017,b07003017_moe,b07003018,b07003018_moe
1,Southwest,48710,1044,22582,751,26128,818,40501,1111,18863,744,21638,732,5441,873,2605,481,2836,522,847,288,335,139,512,224,1552,496,657,215,895,370,369,152,122,82,247,125
2,Delridge Neighborhoods,33789,1020,16952,727,16837,732,28204,1125,14424,736,13780,723,3451,539,1545,310,1906,352,724,496,339,185,385,330,1192,361,531,183,661,250,218,145,113,82,105,91
3,Greater Duwamish,46604,1763,23495,1213,23109,1076,39442,1622,19286,1045,20156,1032,4756,833,2645,462,2111,476,430,169,285,138,145,88,870,269,639,235,231,108,1106,556,640,368,466,216
4,Southeast,45399,1490,21881,1082,23518,905,38778,1439,18571,979,20207,886,4859,1031,2411,542,2448,607,489,244,231,174,258,142,858,286,462,178,396,157,415,251,206,165,209,147
5,Central,29248,972,13900,732,15348,727,22124,1031,10364,628,11760,717,5173,755,2524,463,2649,490,469,207,274,144,195,101,1393,354,699,236,694,201,89,60,39,44,50,47
6,East,50914,1186,26717,973,24197,893,34356,1239,18269,892,16087,783,10207,885,5595,618,4612,512,1239,296,621,196,618,186,4278,620,1878,358,2400,436,834,312,354,164,480,235
7,Northeast,78426,1820,38064,1324,40362,1229,56565,1488,27836,975,28729,1020,12680,1141,6039,833,6641,750,3445,442,1672,312,1773,336,3819,603,1762,409,2057,354,1917,496,755,216,1162,364
8,North,39569,1066,19829,815,19740,744,32071,1072,16141,743,15930,725,4443,707,2152,403,2291,408,1309,361,567,217,742,225,1252,352,628,213,624,199,494,213,341,175,153,90
9,Northwest,68973,1409,33267,1022,35706,942,55694,1514,26960,982,28734,945,8869,928,4459,559,4410,560,1731,375,664,174,1067,275,1932,434,890,229,1042,275,747,299,294,156,453,188
10,Ballard,43737,1015,21716,756,22021,725,35907,1018,17867,739,18040,632,5391,801,2453,424,2938,509,841,316,440,234,401,192,1187,284,750,187,437,156,411,189,206,108,205,113
11,Lake Union,43903,1313,23109,1000,20794,970,29922,1075,15798,875,14124,677,9012,930,4645,648,4367,575,974,251,630,212,344,129,3522,653,1870,405,1652,407,473,165,166,87,307,129
12,Magnolia/Queen Anne,58947,1379,28722,1098,30225,1060,44121,1373,21186,916,22935,903,8858,955,4496,676,4362,604,1407,361,542,191,865,254,4073,701,2276,437,1797,376,488,185,222,114,266,110
13,Downtown,17310,891,10244,679,7066,534,11689,842,6671,576,5018,482,2766,440,1702,337,1064,258,639,249,449,204,190,94,1929,365,1259,296,670,144,287,148,163,98,124,76
