area_id,area_name,b09019001,b09019001_moe,b09019002,b09019002_moe,b09019003,b09019003_moe,b09019004,b09019004_moe,b09019005,b09019005_moe,b09019006,b09019006_moe,b09019007,b09019007_moe,b09019008,b09019008_moe,b09019009,b09019009_moe,b09019010,b09019010_moe,b09019011,b09019011_moe,b09019012,b09019012_moe,b09019013,b09019013_moe,b09019014,b09019014_moe,b09019015,b09019015_moe,b09019016,b09019016_moe,b09019017,b09019017_moe,b09019018,b09019018_moe,b09019019,b09019019_moe,b09019020,b09019020_moe,b09019021,b09019021_moe,b09019022,b09019022_moe,b09019023,b09019023_moe,b09019024,b09019024_moe,b09019025,b09019025_moe,b09019026,b09019026_moe,b09019027,b09019027_moe,b09019028,b09019028_moe,b09019029,b09019029_moe,b09019030,b09019030_moe,b09019031,b09019031_moe,b09019032,b09019032_moe,b09019033,b09019033_moe,b09019034,b09019034_moe,b09019035,b09019035_moe,b09019036,b09019036_moe,b09019037,b09019037_moe,b09019038,b09019038_moe
1,Southwest,49334,1084,48553,1055,33519,1280,11615,463,6659,416,4956,431,9583,446,10151,564,9670,571,293,120,188,94,216,115,316,133,342,158,35,60,53,60,223,160,985,249,188,98,164,130,401,140,19,54,213,126,15034,900,11611,546,4972,445,3602,391,1370,277,6639,457,5163,417,1476,270,3423,511,413,295,977,264,1767,289,0,48,266,123,781,242
2,Delridge Neighborhoods,34331,1051,34236,1048,24985,1257,7898,410,4233,351,3665,378,5208,384,8735,687,8313,664,214,133,208,104,377,155,689,218,408,178,121,79,108,81,548,212,893,261,87,64,293,204,290,103,22,50,201,99,9251,714,6952,448,3420,380,2201,303,1219,279,3532,346,2904,331,628,138,2299,401,368,204,671,234,1102,232,0,38,158,95,95,96
3,Greater Duwamish,47182,1787,46112,1746,37512,1912,10023,429,5341,408,4682,431,6673,432,13278,1117,12967,1117,203,97,108,87,945,233,1450,394,1548,339,283,129,299,124,1662,541,1351,357,155,107,513,252,318,129,46,72,319,161,8600,787,6063,422,3484,368,2416,313,1068,238,2579,321,2064,301,515,146,2537,533,91,102,1289,429,888,203,0,45,269,151,1070,362
4,Southeast,45972,1502,45210,1447,36059,1689,10698,475,5784,431,4914,452,7039,452,12057,869,11297,873,557,173,203,107,1180,359,1141,352,629,209,113,77,172,93,1695,492,1335,323,288,173,138,100,365,136,25,58,519,237,9151,800,6914,503,3264,395,2248,338,1016,258,3650,395,2907,376,743,188,2237,469,140,97,722,268,1067,241,0,45,308,278,762,294
5,Central,29698,992,28838,986,17210,1121,5827,366,2935,328,2892,313,4275,321,5443,533,4942,477,383,195,118,89,199,113,336,160,33,63,26,53,81,75,452,263,538,216,84,83,221,146,139,76,0,34,94,72,11628,811,8094,424,3814,400,2653,357,1161,223,4280,376,3060,320,1220,246,3534,544,255,161,1696,432,1322,241,0,34,261,157,860,261
6,East,51309,1222,47343,1108,18110,1232,6914,493,4148,401,2766,375,5718,459,4300,470,4095,468,155,75,50,65,323,272,246,155,93,89,45,74,0,47,43,68,428,153,62,64,45,65,193,104,0,47,128,98,29233,1030,22787,633,11727,640,9033,629,2694,366,11060,617,8567,589,2493,361,6446,669,261,124,3098,564,2840,379,7,46,240,153,3966,549
7,Northeast,79252,1825,69809,1650,43522,1341,14739,465,8605,443,6134,398,12341,452,13499,571,12801,568,556,177,142,98,330,153,602,199,215,115,35,66,130,95,342,154,1289,316,86,76,586,244,364,123,0,59,253,127,26287,1603,15572,569,7520,508,4994,461,2526,353,8052,490,5389,430,2663,338,10715,1382,1621,990,7228,1114,1633,253,0,59,233,126,9443,728
8,North,40013,1085,39656,1083,26747,1317,9165,448,5294,419,3871,358,6809,404,7902,626,7450,626,276,124,176,83,192,97,569,176,404,162,33,55,22,48,687,322,964,241,159,104,364,166,151,84,29,63,261,123,12909,764,10296,510,4992,436,3999,418,993,205,5304,436,4433,411,871,198,2613,450,108,86,1264,354,1050,204,0,43,191,133,357,104
9,Northwest,69963,1450,68886,1456,43703,1636,15452,570,8319,531,7133,488,12728,575,12415,724,11687,698,510,169,218,120,559,196,454,151,427,146,97,77,167,103,414,170,990,214,138,104,234,107,380,122,17,58,221,90,25183,1238,17716,630,7881,570,4921,453,2960,398,9835,568,7396,517,2439,342,7467,853,403,167,3854,747,2804,363,0,54,406,222,1077,245
10,Ballard,44470,1019,44165,1013,29442,1177,10539,437,5995,441,4544,360,8734,436,8495,559,8000,534,275,113,220,157,170,91,176,89,202,106,58,57,66,66,158,116,844,249,77,87,225,142,411,129,0,43,131,94,14723,905,10697,494,4951,432,3246,363,1705,322,5746,465,4385,399,1361,273,4026,598,340,213,1924,511,1689,324,0,43,73,79,305,118
11,Lake Union,44304,1326,43410,1313,17739,1184,6677,455,4033,401,2644,326,5393,401,4273,370,4008,369,148,90,117,77,48,56,372,201,113,82,18,49,9,44,120,79,716,256,134,92,262,183,245,106,0,42,75,72,25671,1247,17843,631,9554,596,6725,561,2829,384,8289,570,5975,485,2314,349,7828,942,440,169,4521,856,2638,356,64,100,165,117,894,186
12,Magnolia/Queen Anne,59677,1403,57055,1334,33486,1408,12146,520,7156,474,4990,452,10869,509,9390,630,8861,576,282,133,247,220,69,72,222,114,133,87,155,139,31,61,100,69,371,167,46,71,75,91,137,79,0,51,113,102,23569,1263,17828,654,7788,573,6030,529,1758,325,10040,579,7809,513,2231,345,5741,900,402,217,3100,844,2066,313,0,51,173,125,2622,395
13,Downtown,17411,916,16017,831,5768,868,2301,306,1489,243,812,197,1975,284,1217,423,1161,420,31,51,25,42,16,33,34,59,26,39,0,29,0,29,91,75,108,124,0,29,81,120,27,36,0,29,0,29,10249,516,9109,425,5664,404,5086,396,578,186,3445,351,3024,349,421,150,1140,261,13,34,421,184,564,161,0,29,142,106,1394,363
