area_id,area_name,c15002e001,c15002e001_moe,c15002e002,c15002e002_moe,c15002e003,c15002e003_moe,c15002e004,c15002e004_moe,c15002e005,c15002e005_moe,c15002e006,c15002e006_moe,c15002e007,c15002e007_moe,c15002e008,c15002e008_moe,c15002e009,c15002e009_moe,c15002e010,c15002e010_moe,c15002e011,c15002e011_moe
1,Southwest,131,126,15,58,7,48,0,48,0,48,8,49,116,116,0,48,7,48,109,116,0,48
2,Delridge Neighborhoods,208,143,124,103,0,38,83,93,41,48,0,38,84,77,13,41,60,68,11,42,0,38
3,Greater Duwamish,281,170,114,98,0,45,33,59,28,58,53,81,167,121,55,75,74,77,15,48,23,55
4,Southeast,260,237,110,118,52,82,45,73,13,51,0,45,150,145,50,75,13,53,87,125,0,45
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34,9,36,0,34
6,East,52,64,35,59,10,49,8,48,17,52,0,47,17,52,0,47,17,52,0,47,0,47
7,Northeast,47,72,32,64,0,59,0,59,32,64,0,59,15,67,0,59,0,59,15,67,0,59
8,North,148,115,76,83,0,43,30,63,0,43,46,69,72,89,40,69,0,43,32,50,0,43
9,Northwest,187,128,72,70,11,55,0,54,61,69,0,54,115,104,16,59,0,54,36,57,63,102
10,Ballard,69,62,16,43,0,43,0,43,0,43,16,43,53,58,23,47,9,44,21,52,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,18,49,12,51,12,51,0,51,0,51,0,51,6,49,0,51,0,51,6,49,0,51
13,Downtown,17,39,17,39,4,28,0,29,13,37,0,29,0,29,0,29,0,29,0,29,0,29
