area_id,area_name,b18101d001,b18101d001_moe,b18101d002,b18101d002_moe,b18101d003,b18101d003_moe,b18101d004,b18101d004_moe,b18101d005,b18101d005_moe,b18101d006,b18101d006_moe,b18101d007,b18101d007_moe,b18101d008,b18101d008_moe,b18101d009,b18101d009_moe,b18101d010,b18101d010_moe
1,Southwest,2271,363,382,147,0,48,382,147,1588,277,26,62,1562,268,301,121,67,58,234,105
2,Delridge Neighborhoods,5546,689,1214,298,13,42,1201,296,3668,483,330,169,3338,446,664,183,178,90,486,159
3,Greater Duwamish,20718,1408,4068,534,58,53,4010,531,13240,1030,814,225,12426,995,3410,342,1360,233,2050,293
4,Southeast,11360,982,2174,413,83,63,2091,412,7530,698,554,196,6976,672,1656,263,769,172,887,191
5,Central,2800,417,245,112,15,37,230,108,2025,341,51,58,1974,333,530,124,229,97,301,94
6,East,4534,578,222,127,0,47,222,127,3740,487,215,106,3525,482,572,176,196,81,376,160
7,Northeast,10993,974,862,205,0,59,862,205,9554,907,169,116,9385,913,577,164,117,84,460,147
8,North,5915,715,644,217,3,42,641,217,4627,584,223,92,4404,575,644,166,222,112,422,147
9,Northwest,6767,654,669,181,0,54,669,181,5276,540,226,107,5050,539,822,185,308,116,514,152
10,Ballard,2121,363,165,86,0,43,165,86,1727,307,50,56,1677,308,229,108,20,49,209,104
11,Lake Union,4565,649,130,87,0,42,130,87,4190,622,136,154,4054,550,245,103,71,55,174,102
12,Magnolia/Queen Anne,4229,545,447,197,0,51,447,197,3386,497,182,142,3204,486,396,170,127,99,269,152
13,Downtown,3662,529,326,227,0,29,326,227,2302,404,142,79,2160,399,1034,211,552,158,482,155
