area_id,area_name,b14007a001,b14007a001_moe,b14007a002,b14007a002_moe,b14007a003,b14007a003_moe,b14007a004,b14007a004_moe,b14007a005,b14007a005_moe,b14007a006,b14007a006_moe,b14007a007,b14007a007_moe,b14007a008,b14007a008_moe,b14007a009,b14007a009_moe,b14007a010,b14007a010_moe,b14007a011,b14007a011_moe,b14007a012,b14007a012_moe,b14007a013,b14007a013_moe,b14007a014,b14007a014_moe,b14007a015,b14007a015_moe,b14007a016,b14007a016_moe,b14007a017,b14007a017_moe,b14007a018,b14007a018_moe,b14007a019,b14007a019_moe
1,Southwest,41734,1074,7505,585,854,205,446,141,518,184,195,85,475,151,376,113,384,116,323,121,310,139,350,123,242,105,385,131,324,121,215,103,1343,254,765,204,34229,880
2,Delridge Neighborhoods,19884,1053,3320,522,213,96,157,82,196,114,119,81,187,106,69,53,28,47,151,99,183,87,106,68,103,65,248,110,297,143,301,156,711,238,251,93,16564,797
3,Greater Duwamish,13380,992,2148,406,163,102,154,95,86,90,122,84,69,67,88,77,71,70,139,95,151,105,32,59,124,87,78,77,67,76,34,48,546,193,224,89,11232,864
4,Southeast,18141,1057,3599,453,230,94,330,133,231,105,201,93,175,89,100,73,138,81,121,78,250,93,174,109,212,115,101,67,64,62,149,90,718,233,405,149,14542,852
5,Central,17216,793,3112,406,335,122,185,111,203,98,89,69,57,51,118,73,45,49,87,64,53,53,42,42,53,50,88,66,73,62,44,47,905,211,735,205,14104,665
6,East,38635,1257,7316,739,250,98,169,79,119,74,165,78,127,66,165,91,96,62,105,68,109,66,81,62,153,75,107,64,112,70,155,90,3730,602,1673,299,31319,1066
7,Northeast,59521,1678,21875,1352,1130,203,584,151,617,147,525,133,437,125,417,124,416,120,431,116,323,113,520,142,437,131,423,128,408,127,617,278,11853,1132,2737,392,37646,972
8,North,27527,945,5653,572,400,121,310,110,157,79,226,99,159,72,299,122,147,105,168,76,163,75,180,82,174,91,193,94,151,70,208,92,1771,375,947,198,21874,734
9,Northwest,52483,1306,9319,692,951,187,346,110,417,123,465,143,266,92,434,136,330,108,317,105,328,128,316,138,210,106,356,116,114,79,308,115,2411,393,1750,304,43164,1124
10,Ballard,37690,975,6864,581,786,177,331,113,257,92,230,99,275,102,295,103,357,129,229,107,268,96,194,100,247,89,186,97,344,128,280,141,1512,310,1073,235,30826,821
11,Lake Union,34262,1175,7604,743,416,115,190,78,239,100,127,70,125,69,170,85,145,73,90,61,81,63,93,60,96,63,82,59,56,52,71,60,3395,624,2228,361,26658,980
12,Magnolia/Queen Anne,48430,1331,10436,941,755,178,391,138,333,138,379,131,227,97,378,151,543,166,275,103,230,105,340,140,268,103,243,117,197,90,304,108,4287,785,1286,303,37994,959
13,Downtown,10303,620,736,226,0,29,0,29,0,29,0,29,0,29,0,29,14,33,0,29,0,29,0,29,0,29,0,29,6,29,0,29,320,145,396,165,9567,614
