area_id,area_name,b17010g001,b17010g001_moe,b17010g002,b17010g002_moe,b17010g003,b17010g003_moe,b17010g004,b17010g004_moe,b17010g005,b17010g005_moe,b17010g006,b17010g006_moe,b17010g007,b17010g007_moe,b17010g008,b17010g008_moe,b17010g009,b17010g009_moe,b17010g010,b17010g010_moe,b17010g011,b17010g011_moe,b17010g012,b17010g012_moe,b17010g013,b17010g013_moe,b17010g014,b17010g014_moe,b17010g015,b17010g015_moe,b17010g016,b17010g016_moe,b17010g017,b17010g017_moe,b17010g018,b17010g018_moe,b17010g019,b17010g019_moe,b17010g020,b17010g020_moe,b17010g021,b17010g021_moe,b17010g022,b17010g022_moe,b17010g023,b17010g023_moe,b17010g024,b17010g024_moe,b17010g025,b17010g025_moe,b17010g026,b17010g026_moe,b17010g027,b17010g027_moe,b17010g028,b17010g028_moe,b17010g029,b17010g029_moe,b17010g030,b17010g030_moe,b17010g031,b17010g031_moe,b17010g032,b17010g032_moe,b17010g033,b17010g033_moe,b17010g034,b17010g034_moe,b17010g035,b17010g035_moe,b17010g036,b17010g036_moe,b17010g037,b17010g037_moe,b17010g038,b17010g038_moe,b17010g039,b17010g039_moe,b17010g040,b17010g040_moe,b17010g041,b17010g041_moe
1,Southwest,326,122,11,48,0,48,0,48,0,48,0,48,0,48,0,48,11,48,0,48,0,48,0,48,0,48,0,48,0,48,11,48,11,48,0,48,11,48,0,48,0,48,315,120,248,109,179,93,76,67,62,66,41,61,69,68,67,67,20,55,20,55,20,55,0,48,0,48,0,48,47,61,47,61,8,47,22,57,17,54,0,48
2,Delridge Neighborhoods,308,119,48,54,14,43,0,38,0,38,0,38,0,38,14,43,34,51,17,45,17,45,17,45,0,38,0,38,0,38,17,44,0,38,0,38,0,38,0,38,17,44,260,111,118,75,76,69,35,47,7,37,34,60,42,47,142,89,23,45,23,45,0,38,0,38,23,45,0,38,119,86,54,68,0,38,32,60,22,50,65,63
3,Greater Duwamish,482,163,46,66,27,60,27,60,0,45,0,45,27,60,0,45,19,53,0,45,0,45,0,45,0,45,0,45,0,45,19,53,19,53,0,45,19,53,0,45,0,45,436,155,271,117,108,74,59,61,13,49,36,57,163,99,165,105,52,70,21,49,0,45,0,45,21,49,31,67,113,97,73,86,0,45,11,45,62,84,40,63
4,Southeast,509,152,98,78,0,45,0,45,0,45,0,45,0,45,0,45,98,78,6,43,6,43,0,45,0,45,6,43,0,45,92,79,92,79,0,45,8,44,84,78,0,45,411,137,246,97,113,74,38,52,33,57,42,54,133,72,165,101,8,45,0,45,0,45,0,45,0,45,8,45,157,101,110,93,0,45,38,73,72,69,47,58
5,Central,246,111,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,246,111,118,66,54,48,24,39,16,41,14,38,64,51,128,91,60,62,40,54,0,34,0,34,40,54,20,45,68,71,28,55,0,34,28,55,0,34,40,57
6,East,161,105,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,161,105,62,59,20,55,0,47,20,55,0,47,42,52,99,96,61,87,15,49,15,49,0,47,0,47,46,85,38,61,22,58,0,47,0,47,22,58,16,50
7,Northeast,467,152,54,70,16,62,16,62,16,62,0,59,0,59,0,59,38,65,14,62,0,59,0,59,0,59,0,59,14,62,24,62,14,61,0,59,14,61,0,59,10,60,413,146,356,139,176,96,16,62,43,64,117,89,180,109,57,70,13,60,13,60,13,60,0,59,0,59,0,59,44,67,30,65,15,63,0,59,15,61,14,61
8,North,281,126,43,49,0,43,0,43,0,43,0,43,0,43,0,43,43,49,18,49,0,43,0,43,0,43,0,43,18,49,25,44,25,44,16,43,0,43,9,44,0,43,238,118,148,69,78,65,38,58,0,43,40,48,70,46,90,98,48,75,0,43,0,43,0,43,0,43,48,75,42,77,42,77,0,43,0,43,42,77,0,43
9,Northwest,502,181,15,58,15,58,0,54,0,54,0,54,0,54,15,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,487,179,353,154,237,143,41,75,0,54,196,133,116,75,134,102,9,54,9,54,9,54,0,54,0,54,0,54,125,102,62,67,0,54,0,54,62,67,63,93
10,Ballard,285,123,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,285,123,205,105,65,61,17,46,10,46,38,57,140,94,80,67,33,53,16,49,16,49,0,43,0,43,17,48,47,56,17,49,0,43,0,43,17,49,30,50
