area_id,area_name,b08128001,b08128001_moe,b08128002,b08128002_moe,b08128003,b08128003_moe,b08128004,b08128004_moe,b08128005,b08128005_moe,b08128006,b08128006_moe,b08128007,b08128007_moe,b08128008,b08128008_moe,b08128009,b08128009_moe,b08128010,b08128010_moe,b08128011,b08128011_moe,b08128012,b08128012_moe,b08128013,b08128013_moe,b08128014,b08128014_moe,b08128015,b08128015_moe,b08128016,b08128016_moe,b08128017,b08128017_moe,b08128018,b08128018_moe,b08128019,b08128019_moe,b08128020,b08128020_moe,b08128021,b08128021_moe,b08128022,b08128022_moe,b08128023,b08128023_moe,b08128024,b08128024_moe,b08128025,b08128025_moe,b08128026,b08128026_moe,b08128027,b08128027_moe,b08128028,b08128028_moe,b08128029,b08128029_moe,b08128030,b08128030_moe,b08128031,b08128031_moe,b08128032,b08128032_moe,b08128033,b08128033_moe,b08128034,b08128034_moe,b08128035,b08128035_moe,b08128036,b08128036_moe,b08128037,b08128037_moe,b08128038,b08128038_moe,b08128039,b08128039_moe,b08128040,b08128040_moe,b08128041,b08128041_moe,b08128042,b08128042_moe,b08128043,b08128043_moe,b08128044,b08128044_moe,b08128045,b08128045_moe,b08128046,b08128046_moe,b08128047,b08128047_moe,b08128048,b08128048_moe,b08128049,b08128049_moe,b08128050,b08128050_moe,b08128051,b08128051_moe,b08128052,b08128052_moe,b08128053,b08128053_moe,b08128054,b08128054_moe,b08128055,b08128055_moe,b08128056,b08128056_moe,b08128057,b08128057_moe,b08128058,b08128058_moe,b08128059,b08128059_moe,b08128060,b08128060_moe,b08128061,b08128061_moe,b08128062,b08128062_moe,b08128063,b08128063_moe,b08128064,b08128064_moe,b08128065,b08128065_moe,b08128066,b08128066_moe,b08128067,b08128067_moe,b08128068,b08128068_moe,b08128069,b08128069_moe,b08128070,b08128070_moe
1,Southwest,27930,842,18765,790,17117,769,1648,287,3061,381,1905,307,1351,247,912,246,1936,288,0,48,17803,854,12388,743,11325,718,1063,236,2036,316,938,202,931,220,473,152,1037,215,0,48,2944,466,1807,379,1743,372,64,56,261,114,258,119,198,92,220,173,200,117,0,48,3879,430,2453,344,2426,343,27,52,520,159,581,177,152,78,139,83,34,52,0,48,481,155,271,125,243,117,28,54,92,77,31,51,18,53,33,56,36,57,0,48,699,182,478,154,425,145,53,62,96,79,83,69,0,48,0,48,42,51,0,48,2124,309,1368,253,955,221,413,129,56,71,14,50,52,60,47,61,587,154,0,48
2,Delridge Neighborhoods,18280,717,13214,742,12689,733,525,151,1912,304,992,217,768,208,406,146,981,211,7,37,11240,623,8042,573,7720,567,322,111,1332,248,598,170,427,171,254,101,587,164,0,38,2438,409,1995,381,1959,379,36,46,206,97,77,61,100,71,0,38,60,78,0,38,2985,456,2232,400,2232,400,0,38,291,112,248,114,72,58,120,100,22,42,0,38,385,171,286,157,275,156,11,40,20,41,13,41,66,70,0,38,0,38,0,38,439,141,295,111,279,110,16,42,46,53,36,46,49,57,0,38,13,43,0,38,793,184,364,135,224,95,140,98,17,39,20,48,54,57,32,50,299,107,7,37
3,Greater Duwamish,23165,1099,16432,1025,15781,1006,651,174,2101,347,1475,290,1202,265,901,217,1054,237,0,45,12987,866,9090,749,8662,720,428,156,1209,254,803,202,727,213,529,163,629,183,0,45,3352,528,2612,464,2565,464,47,58,240,126,210,142,115,72,60,55,115,92,0,45,4634,561,3454,504,3425,502,29,48,372,137,353,125,295,113,134,93,26,51,0,45,721,191,450,144,434,143,16,47,67,70,27,52,0,45,103,95,74,72,0,45,900,236,565,168,531,159,34,56,192,121,45,59,0,45,40,53,58,61,0,45,571,159,261,99,164,88,97,65,21,47,37,53,65,78,35,65,152,90,0,45
4,Southeast,22046,939,12897,815,12127,807,770,191,3086,380,2119,377,1683,334,490,149,1732,342,39,55,13286,786,7975,684,7540,678,435,131,1691,285,1226,286,1207,283,304,102,855,216,28,54,2629,420,1595,322,1476,303,119,96,389,147,225,106,153,93,15,46,252,201,0,45,3748,481,2349,377,2258,369,91,96,551,183,538,186,144,80,60,60,106,76,0,45,484,164,218,132,205,130,13,48,124,67,41,54,16,49,54,75,31,48,0,45,750,205,295,134,295,134,0,45,178,91,70,74,59,58,47,70,101,92,0,45,1149,258,465,162,353,137,112,96,153,102,19,46,104,96,10,45,387,137,11,47
5,Central,17277,741,9980,681,9175,669,805,192,3107,451,1117,238,1341,240,262,101,1438,259,32,54,7810,586,4783,478,4340,456,443,142,1128,252,657,175,603,157,102,64,537,176,0,34,1362,337,687,192,630,185,57,55,323,223,56,48,126,79,0,34,138,81,32,54,3450,450,2142,351,2132,351,10,35,532,175,204,128,397,132,108,67,67,56,0,34,2128,362,1112,250,1077,250,35,44,706,227,48,49,99,68,6,33,157,86,0,34,1373,290,703,227,587,185,116,88,288,122,123,76,116,72,46,58,97,64,0,34,1154,251,553,174,409,153,144,88,130,119,29,43,0,34,0,34,442,145,0,34
6,East,32499,978,22499,962,21494,971,1005,243,4371,524,1249,243,1759,305,619,203,1982,309,20,55,10940,754,7140,640,6791,633,349,122,1748,343,438,146,507,147,199,105,888,217,20,55,1380,315,1003,285,921,268,82,105,147,77,47,57,71,61,22,51,90,77,0,47,7350,675,5215,584,5180,581,35,70,872,245,431,154,563,170,165,98,104,65,0,47,9588,795,7187,723,6999,717,188,121,1335,272,245,113,467,167,84,67,270,115,0,47,1441,303,1003,259,985,259,18,48,192,99,78,63,80,68,14,50,74,90,0,47,1800,344,951,234,618,188,333,139,77,60,10,48,71,75,135,143,556,161,0,47
7,Northeast,42414,1259,25143,1167,23057,1139,2086,341,5525,518,2076,291,6336,580,678,155,2626,353,30,62,20791,923,13604,820,12615,797,989,206,2649,362,1143,226,1787,270,298,114,1302,274,8,59,3299,440,2156,379,1859,355,297,139,373,136,152,84,384,131,69,65,161,99,4,57,8136,690,4596,528,4545,526,51,67,1198,227,491,135,1515,299,194,89,142,92,0,59,4218,506,2049,376,1957,368,92,88,757,189,119,78,1204,281,44,66,45,65,0,59,2864,407,1324,314,1180,306,144,91,408,123,143,95,870,218,44,64,75,67,0,59,3106,416,1414,278,901,198,513,200,140,80,28,61,576,216,29,61,901,186,18,63
8,North,22378,886,13871,810,13233,807,638,183,2991,337,1415,223,2304,323,463,139,1327,296,7,44,12842,762,8212,669,7844,665,368,138,1772,273,795,156,1100,221,282,101,681,190,0,43,2604,382,1812,331,1738,325,74,97,266,101,56,58,285,120,0,43,185,113,0,43,4282,490,2444,372,2429,370,15,44,618,176,487,146,581,155,84,67,68,58,0,43,666,175,404,150,380,148,24,49,112,62,54,61,65,58,0,43,24,49,7,44,997,239,515,178,515,178,0,43,126,75,23,48,238,108,50,55,45,79,0,43,987,209,484,139,327,121,157,75,97,71,0,43,35,46,47,72,324,126,0,43
9,Northwest,40650,1078,26181,1014,24351,1004,1830,303,5182,489,2533,365,3185,399,793,221,2752,366,24,66,23603,919,15964,816,14877,802,1087,234,3014,386,1533,306,1352,232,511,188,1229,250,0,54,4120,536,2575,441,2411,433,164,95,499,152,316,139,433,174,94,78,203,106,0,54,6776,591,4285,474,4259,471,26,59,998,241,398,122,836,208,156,103,103,73,0,54,1295,260,867,222,723,198,144,111,242,121,64,66,11,52,13,56,98,75,0,54,1974,315,1129,235,1069,227,60,78,214,99,151,80,386,144,19,55,75,71,0,54,2882,406,1361,281,1012,248,349,129,215,119,71,79,167,101,0,54,1044,232,24,66
10,Ballard,27338,892,18423,895,17196,914,1227,338,3134,404,1315,235,2008,304,713,222,1708,272,37,59,15697,794,10916,744,10446,751,470,140,1716,298,820,188,940,211,381,158,897,195,27,59,2671,454,1778,398,1486,330,292,265,432,150,148,73,213,109,30,50,70,61,0,43,4618,502,2748,418,2737,418,11,45,702,253,212,97,682,184,187,88,87,72,0,43,937,233,714,219,654,223,60,69,23,45,46,58,5,42,24,48,115,68,10,43,1451,260,993,226,936,204,57,71,199,98,52,62,152,77,0,43,55,55,0,43,1964,370,1274,300,937,250,337,133,62,55,37,49,16,49,91,123,484,164,0,43
