area_id,area_name,b08101001,b08101001_moe,b08101002,b08101002_moe,b08101003,b08101003_moe,b08101004,b08101004_moe,b08101005,b08101005_moe,b08101006,b08101006_moe,b08101007,b08101007_moe,b08101008,b08101008_moe,b08101009,b08101009_moe,b08101010,b08101010_moe,b08101011,b08101011_moe,b08101012,b08101012_moe,b08101013,b08101013_moe,b08101014,b08101014_moe,b08101015,b08101015_moe,b08101016,b08101016_moe,b08101017,b08101017_moe,b08101018,b08101018_moe,b08101019,b08101019_moe,b08101020,b08101020_moe,b08101021,b08101021_moe,b08101022,b08101022_moe,b08101023,b08101023_moe,b08101024,b08101024_moe,b08101025,b08101025_moe,b08101026,b08101026_moe,b08101027,b08101027_moe,b08101028,b08101028_moe,b08101029,b08101029_moe,b08101030,b08101030_moe,b08101031,b08101031_moe,b08101032,b08101032_moe,b08101033,b08101033_moe,b08101034,b08101034_moe,b08101035,b08101035_moe,b08101036,b08101036_moe,b08101037,b08101037_moe,b08101038,b08101038_moe,b08101039,b08101039_moe,b08101040,b08101040_moe,b08101041,b08101041_moe,b08101042,b08101042_moe,b08101043,b08101043_moe,b08101044,b08101044_moe,b08101045,b08101045_moe,b08101046,b08101046_moe,b08101047,b08101047_moe,b08101048,b08101048_moe,b08101049,b08101049_moe,b08101050,b08101050_moe,b08101051,b08101051_moe,b08101052,b08101052_moe,b08101053,b08101053_moe,b08101054,b08101054_moe,b08101055,b08101055_moe,b08101056,b08101056_moe
1,Southwest,27930,842,328,113,1008,269,13920,707,6836,488,2617,320,1867,269,1354,281,17803,854,198,91,645,183,8535,648,4561,427,1768,290,1025,195,1071,269,2944,466,74,63,48,62,1841,382,474,158,201,83,268,108,38,55,3879,430,37,58,160,105,2174,312,937,226,260,98,266,103,45,53,481,155,0,48,13,50,185,102,152,86,31,52,59,63,41,63,699,182,0,48,0,48,357,136,207,99,84,94,33,55,18,52,2124,309,19,54,142,109,828,199,505,152,273,97,216,87,141,80
2,Delridge Neighborhoods,18280,717,422,153,1155,301,10409,603,3684,389,1346,264,738,190,526,131,11240,623,213,86,613,185,6476,515,2308,298,819,181,491,165,320,98,2438,409,56,64,176,111,1644,346,351,149,87,63,104,78,20,39,2985,456,153,104,349,183,1393,268,608,176,327,168,36,47,119,77,385,171,0,38,17,43,268,155,40,62,26,53,34,52,0,38,439,141,0,38,0,38,280,121,119,68,24,46,0,38,16,43,793,184,0,38,0,38,348,126,258,116,63,54,73,53,51,48
3,Greater Duwamish,23165,1099,357,118,2238,422,11715,805,4716,480,1914,339,1527,311,698,176,12987,866,87,62,1165,272,6791,643,2863,412,934,225,769,215,378,138,3352,528,112,83,245,109,1595,359,668,171,313,126,319,170,100,70,4634,561,149,85,578,190,2104,367,776,196,489,182,376,156,162,80,721,191,5,44,94,83,374,148,125,69,82,69,27,51,14,48,900,236,0,45,108,90,565,170,138,93,53,59,36,59,0,45,571,159,4,44,48,63,286,116,146,81,43,60,0,45,44,61
4,Southeast,22046,939,332,142,1429,288,10276,690,4952,516,2498,338,1706,319,853,176,13286,786,189,113,806,208,6233,586,2986,364,1416,268,1095,244,561,138,2629,420,42,60,230,169,1102,250,641,190,395,151,206,118,13,51,3748,481,77,69,284,122,1807,389,676,210,489,151,248,108,167,89,484,164,8,45,18,50,155,101,209,117,40,52,0,45,54,55,750,205,0,45,33,68,370,157,188,97,74,60,85,83,0,45,1149,258,16,48,58,60,609,203,252,114,84,64,72,58,58,54
5,Central,17277,741,173,111,1518,334,9733,656,2979,349,1317,239,966,187,591,152,7810,586,60,83,623,203,4128,464,1452,229,817,184,494,123,236,92,1362,337,0,34,218,128,770,228,178,91,139,82,42,47,15,37,3450,450,92,81,340,133,2214,373,496,148,125,75,136,63,47,52,2128,362,11,37,227,119,1161,276,285,112,106,95,186,111,152,91,1373,290,10,36,110,103,926,256,215,97,77,55,22,37,13,36,1154,251,0,34,0,34,534,153,353,164,53,46,86,57,128,85
6,East,32499,978,549,173,3949,532,20078,926,3823,424,1363,259,1680,295,1057,206,10940,754,100,70,979,251,6813,647,1368,245,469,135,686,194,525,135,1380,315,42,59,89,67,797,248,198,115,69,64,124,83,61,72,7350,675,111,93,1076,272,4626,559,735,202,338,137,378,167,86,64,9588,795,251,101,1605,368,5989,636,943,240,352,158,276,138,172,73,1441,303,13,49,114,79,962,255,228,116,38,47,45,57,41,56,1800,344,32,65,86,76,891,234,351,130,97,63,171,94,172,127
7,Northeast,42414,1259,2409,444,7911,955,17619,766,6963,494,3525,352,2310,286,1677,225,20791,923,558,162,3122,569,8846,616,3839,365,2001,284,1487,237,938,176,3299,440,145,84,536,223,1560,281,582,162,269,107,160,89,47,65,8136,690,437,214,1918,386,3806,402,1031,205,492,140,245,104,207,89,4218,506,787,232,1566,332,1194,259,366,141,150,81,99,78,56,64,2864,407,75,86,498,227,1319,265,467,126,333,123,119,70,53,66,3106,416,407,170,271,155,894,192,678,209,280,107,200,89,376,122
8,North,22378,886,372,160,2109,382,11536,731,4077,397,2305,269,1428,209,551,130,12842,762,116,84,948,246,6832,616,2356,307,1350,205,905,174,335,101,2604,382,127,115,355,168,1219,261,445,134,267,103,88,59,103,73,4282,490,50,52,586,218,2298,327,711,185,349,117,251,91,37,53,666,175,75,81,117,84,203,103,179,78,25,54,33,56,34,59,997,239,0,43,83,89,584,187,197,98,105,72,28,47,0,43,987,209,4,42,20,51,400,149,189,80,209,87,123,61,42,54
9,Northwest,40650,1078,406,142,3429,526,22842,954,7348,562,3335,376,2333,324,957,186,23603,919,125,76,1838,391,12930,764,4629,450,1980,270,1406,238,695,155,4120,536,86,77,332,187,2480,411,618,169,353,200,196,101,55,71,6776,591,56,68,836,233,4112,484,951,219,414,125,356,115,51,64,1295,260,107,98,177,90,527,168,218,109,114,84,107,105,45,59,1974,315,12,55,197,99,1309,271,301,116,121,73,22,57,12,56,2882,406,20,55,49,66,1484,284,631,170,353,134,246,122,99,69
10,Ballard,27338,892,379,149,1918,508,14813,803,5292,460,2633,346,1503,243,800,182,15697,794,210,113,971,264,8047,719,3258,365,1671,264,989,199,551,152,2671,454,42,54,241,148,1409,310,613,207,251,151,102,73,13,46,4618,502,48,50,599,302,2675,346,607,153,358,119,135,75,196,126,937,233,39,70,76,65,575,198,86,70,78,72,71,63,12,44,1451,260,0,43,12,45,934,205,323,127,144,82,38,53,0,43,1964,370,40,72,19,49,1173,309,405,153,131,83,168,83,28,51
11,Lake Union,29994,1185,546,264,3785,582,19015,907,3366,359,1707,284,1069,205,506,142,13374,816,101,93,1252,283,8901,699,1533,247,883,200,477,122,227,82,2287,420,54,59,122,81,1642,372,190,87,112,67,132,109,35,65,6333,644,112,85,1417,409,3490,459,823,227,323,133,80,55,88,65,4070,485,264,183,795,217,2167,323,426,178,173,71,172,107,73,90,2085,357,0,42,129,74,1626,337,146,71,70,55,70,52,44,51,1845,296,15,45,70,61,1189,245,248,106,146,95,138,71,39,47
12,Magnolia/Queen Anne,36929,1190,803,279,4142,751,20167,887,5829,459,2458,322,2226,300,1304,224,19195,943,219,128,1730,406,10510,744,3491,382,1268,241,1279,229,698,180,3125,508,123,95,311,204,1719,357,420,140,318,129,129,80,105,75,6633,627,33,68,795,239,4192,488,769,182,368,128,281,96,195,86,3683,534,295,141,969,383,1652,297,324,140,183,88,190,99,70,62,1299,258,24,58,60,59,927,230,149,80,81,65,23,52,35,66,2994,362,109,74,277,114,1167,243,676,174,240,94,324,129,201,85
13,Downtown,9773,593,38,41,1032,262,5494,468,1712,313,778,172,409,164,310,121,2868,377,0,29,313,164,1692,294,511,158,177,107,83,67,92,69,482,259,0,29,0,29,398,249,48,53,9,31,27,49,0,29,2120,331,6,29,326,149,960,220,364,154,216,90,168,102,80,59,3207,426,27,37,311,132,1932,324,475,155,268,100,131,97,63,50,200,114,0,29,0,29,161,100,26,37,13,34,0,29,0,29,896,234,5,29,82,62,351,143,288,140,95,76,0,29,75,85
