area_id,area_name,b16005g001,b16005g001_moe,b16005g002,b16005g002_moe,b16005g003,b16005g003_moe,b16005g004,b16005g004_moe,b16005g005,b16005g005_moe,b16005g006,b16005g006_moe,b16005g007,b16005g007_moe,b16005g008,b16005g008_moe,b16005g009,b16005g009_moe,b16005g010,b16005g010_moe,b16005g011,b16005g011_moe
1,Southwest,1794,378,1724,366,1553,346,171,127,104,102,67,81,70,63,51,64,19,46,14,48,5,46
2,Delridge Neighborhoods,1619,324,1448,295,1279,281,169,97,144,90,25,52,171,95,59,66,112,75,31,42,81,72
3,Greater Duwamish,1801,451,1390,339,1011,270,379,181,350,189,29,59,411,256,12,47,399,256,145,108,254,246
4,Southeast,2150,505,1986,491,1809,473,177,118,160,114,17,50,164,90,62,56,102,82,74,73,28,54
5,Central,1684,486,1629,480,1380,364,249,214,249,214,0,34,55,56,42,56,13,34,13,34,0,34
6,East,1983,362,1711,331,1518,314,193,101,193,101,0,47,272,134,106,88,166,117,136,112,30,52
7,Northeast,3642,483,3395,449,2851,403,544,196,492,192,52,62,247,135,32,63,215,132,159,117,56,85
8,North,1399,334,1312,319,1195,311,117,81,97,77,20,45,87,66,49,58,38,54,30,54,8,43
9,Northwest,3253,564,3107,547,2709,503,398,153,324,136,74,85,146,106,83,91,63,76,19,55,44,75
10,Ballard,1947,423,1920,424,1511,359,409,197,382,192,27,60,27,50,0,43,27,50,11,45,16,49
11,Lake Union,1913,385,1764,368,1620,360,144,91,144,91,0,42,149,96,72,69,77,74,77,74,0,42
12,Magnolia/Queen Anne,2366,496,2222,439,1954,407,268,150,216,135,52,80,144,129,65,95,79,101,62,89,17,56
13,Downtown,720,225,661,216,600,209,61,51,61,51,0,29,59,68,0,29,59,68,25,37,34,57
