area_id,area_name,b25024001,b25024001_moe,b25024002,b25024002_moe,b25024003,b25024003_moe,b25024004,b25024004_moe,b25024005,b25024005_moe,b25024006,b25024006_moe,b25024007,b25024007_moe,b25024008,b25024008_moe,b25024009,b25024009_moe,b25024010,b25024010_moe,b25024011,b25024011_moe
1,Southwest,24705,186,15929,416,735,192,728,203,955,217,1400,264,1794,290,1992,289,1127,223,45,50,0,48
2,Delridge Neighborhoods,16058,200,9145,380,1007,209,338,152,884,229,836,237,1135,275,1068,247,1555,238,90,82,0,38
3,Greater Duwamish,17184,222,10472,385,1449,257,845,224,886,217,687,228,1011,214,774,230,999,180,61,65,0,45
4,Southeast,19183,222,13468,410,455,138,577,205,592,200,750,208,749,247,878,260,1534,259,140,89,40,61
5,Central,14991,205,6726,342,1020,221,878,226,747,193,979,232,1067,222,1663,261,1871,212,40,49,0,34
6,East,31706,304,4509,358,836,245,640,210,1382,258,2043,334,4749,450,8392,591,9123,502,32,53,0,47
7,Northeast,31959,284,18407,412,970,203,823,229,1261,241,1767,298,2752,355,3187,350,2495,273,177,109,120,93
8,North,20821,195,10062,359,606,150,333,155,774,201,1208,267,1892,342,2259,297,3597,355,90,88,0,43
9,Northwest,35436,245,18247,532,2136,317,1130,261,1292,264,2222,353,2698,360,3726,402,3689,363,282,142,14,56
10,Ballard,22301,158,12097,376,1311,225,888,233,1132,229,2044,325,1602,272,1416,263,1777,252,34,55,0,43
11,Lake Union,26849,283,6687,357,1062,197,1242,258,1296,263,2485,350,2301,304,3764,401,7900,380,38,50,74,76
12,Magnolia/Queen Anne,32260,226,11644,408,881,202,1313,304,1732,294,2638,342,3830,438,6365,475,3796,356,33,56,28,58
13,Downtown,13241,230,379,128,84,67,36,41,62,53,383,141,580,178,2410,305,9269,381,38,52,0,29
