area_id,area_name,b08105c001,b08105c001_moe,b08105c002,b08105c002_moe,b08105c003,b08105c003_moe,b08105c004,b08105c004_moe,b08105c005,b08105c005_moe,b08105c006,b08105c006_moe,b08105c007,b08105c007_moe
1,Southwest,218,116,167,102,43,58,0,48,0,48,8,47,0,48
2,Delridge Neighborhoods,119,79,93,72,0,38,26,48,0,38,0,38,0,38
3,Greater Duwamish,203,121,95,89,14,49,94,86,0,45,0,45,0,45
4,Southeast,138,102,12,48,60,72,51,54,0,45,0,45,15,48
5,Central,79,62,28,51,19,44,23,40,9,35,0,34,0,34
6,East,411,193,83,67,36,70,244,174,30,54,0,47,18,50
7,Northeast,194,103,64,74,13,59,87,88,0,59,19,60,11,60
8,North,187,130,72,68,6,43,63,75,11,44,35,51,0,43
9,Northwest,316,149,171,110,72,80,0,54,16,57,0,54,57,73
10,Ballard,68,61,40,52,0,43,28,50,0,43,0,43,0,43
11,Lake Union,187,111,80,84,7,42,63,70,0,42,37,49,0,42
12,Magnolia/Queen Anne,231,126,128,98,11,51,54,63,0,51,0,51,38,61
13,Downtown,83,86,0,29,0,29,58,78,25,48,0,29,0,29
