area_id,area_name,b25032i001,b25032i001_moe,b25032i002,b25032i002_moe,b25032i003,b25032i003_moe,b25032i004,b25032i004_moe,b25032i005,b25032i005_moe,b25032i006,b25032i006_moe,b25032i007,b25032i007_moe,b25032i008,b25032i008_moe,b25032i009,b25032i009_moe,b25032i010,b25032i010_moe,b25032i011,b25032i011_moe
1,Southwest,790,206,481,157,0,48,0,48,50,62,0,48,121,106,101,74,37,62,0,48,0,48
2,Delridge Neighborhoods,1611,266,702,184,60,57,40,58,151,105,80,74,211,124,192,146,128,83,47,77,0,38
3,Greater Duwamish,1098,216,349,129,156,107,55,64,76,77,127,109,215,122,96,77,24,49,0,45,0,45
4,Southeast,1147,268,476,169,11,47,205,130,41,79,0,45,126,126,169,102,119,98,0,45,0,45
5,Central,681,177,176,80,70,52,58,71,21,37,71,69,69,72,162,112,39,54,15,40,0,34
6,East,1397,278,88,68,49,62,121,155,24,52,88,73,122,80,614,187,291,127,0,47,0,47
7,Northeast,873,221,369,112,13,61,36,65,0,59,48,69,148,112,107,110,144,130,8,59,0,59
8,North,1148,247,280,100,36,52,10,44,114,100,126,105,190,104,123,88,211,145,58,83,0,43
9,Northwest,1673,320,548,154,88,79,76,89,71,79,227,144,211,135,220,117,181,135,51,78,0,54
10,Ballard,944,255,307,137,54,54,0,43,114,95,115,91,106,88,70,71,178,156,0,43,0,43
11,Lake Union,1043,239,103,66,18,48,50,58,34,54,66,61,176,114,201,102,395,165,0,42,0,42
12,Magnolia/Queen Anne,998,235,135,83,0,51,56,70,134,103,71,72,184,106,291,136,127,102,0,51,0,51
13,Downtown,410,159,0,29,0,29,0,29,0,29,8,30,0,29,124,78,278,136,0,29,0,29
