area_id,area_name,b12002b001,b12002b001_moe,b12002b002,b12002b002_moe,b12002b003,b12002b003_moe,b12002b004,b12002b004_moe,b12002b005,b12002b005_moe,b12002b006,b12002b006_moe,b12002b007,b12002b007_moe,b12002b008,b12002b008_moe,b12002b009,b12002b009_moe,b12002b010,b12002b010_moe,b12002b011,b12002b011_moe,b12002b012,b12002b012_moe,b12002b013,b12002b013_moe
1,Southwest,846,254,522,185,290,152,155,95,0,48,19,49,58,61,324,160,156,114,80,72,54,96,6,43,28,57
2,Delridge Neighborhoods,3300,483,1339,253,631,211,560,164,42,72,24,44,82,62,1961,328,824,243,508,147,161,127,112,99,356,153
3,Greater Duwamish,5624,687,2663,433,1086,293,1023,220,111,85,62,74,381,171,2961,440,1026,293,1091,242,199,114,188,92,457,171
4,Southeast,9194,857,4518,571,1850,425,1735,304,165,114,130,77,638,288,4676,559,1559,370,1562,298,259,140,495,178,801,237
5,Central,5474,665,2708,458,1190,323,898,217,56,64,56,53,508,193,2766,444,871,270,730,188,131,86,516,152,518,220
6,East,3197,469,1893,331,1049,260,320,121,161,102,18,49,345,139,1304,285,655,198,243,143,96,93,119,80,191,90
7,Northeast,1496,356,883,267,551,212,162,95,19,67,0,59,151,116,613,205,372,155,156,119,3,58,58,74,24,62
8,North,1647,409,980,299,535,196,248,114,42,62,20,50,135,107,667,220,356,156,165,88,17,49,3,42,126,120
9,Northwest,2287,479,1200,299,567,223,372,153,3,51,14,56,244,127,1087,274,464,179,366,172,23,56,39,66,195,128
10,Ballard,283,150,138,104,81,83,57,75,0,43,0,43,0,43,145,111,56,62,0,43,0,43,22,53,67,82
11,Lake Union,1090,273,660,204,414,165,122,77,2,40,9,45,113,103,430,174,208,129,77,79,0,42,9,43,136,100
12,Magnolia/Queen Anne,1371,440,972,362,659,316,192,133,9,49,0,51,112,127,399,180,273,129,53,89,0,51,35,56,38,55
13,Downtown,1554,371,1231,346,707,288,166,106,39,47,0,29,319,169,323,117,134,80,79,69,27,38,0,29,83,70
