area_id,area_name,b11002b001,b11002b001_moe,b11002b002,b11002b002_moe,b11002b003,b11002b003_moe,b11002b004,b11002b004_moe,b11002b005,b11002b005_moe,b11002b006,b11002b006_moe,b11002b007,b11002b007_moe,b11002b008,b11002b008_moe,b11002b009,b11002b009_moe,b11002b010,b11002b010_moe,b11002b011,b11002b011_moe,b11002b012,b11002b012_moe
1,Southwest,591,250,188,174,188,174,188,174,0,48,0,48,0,48,0,48,0,48,0,48,0,48,403,188
2,Delridge Neighborhoods,4667,725,4120,713,1808,676,1808,676,0,38,269,266,269,266,0,38,2043,552,1974,539,69,65,547,211
3,Greater Duwamish,8290,1280,7130,1286,4428,1232,4428,1232,0,45,437,269,382,244,55,62,2265,719,2258,718,7,45,1160,300
4,Southeast,11465,1204,8940,1217,4600,1017,4534,1006,66,84,987,404,939,384,48,63,3353,952,3248,923,105,159,2525,504
5,Central,6402,919,4745,910,2522,699,2522,699,0,34,169,143,169,143,0,34,2054,656,2022,648,32,55,1657,352
6,East,2913,584,1542,502,673,362,673,362,0,47,41,80,41,80,0,47,828,419,773,397,55,75,1371,304
7,Northeast,1469,510,821,351,517,283,517,283,0,59,113,131,113,131,0,59,191,184,191,184,0,59,648,371
8,North,1878,513,1154,420,503,297,468,275,35,69,247,158,247,158,0,43,404,289,404,289,0,43,724,297
9,Northwest,2334,625,1432,554,838,425,838,425,0,54,176,155,154,135,22,62,418,334,418,334,0,54,902,329
10,Ballard,365,219,317,214,106,128,106,128,0,43,0,43,0,43,0,43,211,177,211,177,0,43,48,51
11,Lake Union,1098,381,468,305,260,211,260,211,0,42,0,42,0,42,0,42,208,229,208,229,0,42,630,229
12,Magnolia/Queen Anne,1321,530,674,439,505,399,457,366,48,87,136,206,72,115,64,106,33,72,33,72,0,51,647,279
13,Downtown,1578,566,583,491,242,221,242,221,0,29,284,439,284,439,0,29,57,83,57,83,0,29,995,280
