area_id,area_name,b25032b001,b25032b001_moe,b25032b002,b25032b002_moe,b25032b003,b25032b003_moe,b25032b004,b25032b004_moe,b25032b005,b25032b005_moe,b25032b006,b25032b006_moe,b25032b007,b25032b007_moe,b25032b008,b25032b008_moe,b25032b009,b25032b009_moe,b25032b010,b25032b010_moe,b25032b011,b25032b011_moe
1,Southwest,481,200,121,117,0,48,57,68,77,71,0,48,102,109,56,86,68,84,0,48,0,48
2,Delridge Neighborhoods,1645,271,487,143,186,105,69,79,84,68,215,148,202,153,278,152,124,95,0,38,0,38
3,Greater Duwamish,2729,331,1157,224,220,117,257,141,254,133,174,137,238,134,286,186,143,97,0,45,0,45
4,Southeast,4835,425,2676,330,53,55,128,116,296,163,397,202,274,158,237,135,703,204,48,53,23,57
5,Central,2944,324,1383,195,217,140,154,107,171,111,117,76,315,156,239,114,348,135,0,34,0,34
6,East,1758,326,234,103,40,65,47,61,106,94,122,108,207,102,491,196,505,182,6,46,0,47
7,Northeast,638,196,246,110,8,58,57,84,44,68,33,69,5,58,157,124,49,70,0,59,39,84
8,North,938,266,144,91,0,43,70,74,46,69,163,123,159,129,230,135,126,85,0,43,0,43
9,Northwest,1199,290,180,105,66,99,13,57,27,59,41,63,170,135,355,170,347,166,0,54,0,54
10,Ballard,193,112,0,43,82,85,39,71,0,43,0,43,0,43,41,55,31,47,0,43,0,43
11,Lake Union,672,214,20,51,0,42,0,42,34,52,62,62,54,72,134,115,368,163,0,42,0,42
12,Magnolia/Queen Anne,806,279,128,89,0,51,0,51,72,96,32,61,129,125,278,182,167,133,0,51,0,51
13,Downtown,1073,273,28,41,32,56,0,29,29,43,58,68,76,60,216,144,634,219,0,29,0,29
