area_id,area_name,c21001f001,c21001f001_moe,c21001f002,c21001f002_moe,c21001f003,c21001f003_moe,c21001f004,c21001f004_moe,c21001f005,c21001f005_moe,c21001f006,c21001f006_moe,c21001f007,c21001f007_moe,c21001f008,c21001f008_moe,c21001f009,c21001f009_moe,c21001f010,c21001f010_moe,c21001f011,c21001f011_moe,c21001f012,c21001f012_moe,c21001f013,c21001f013_moe,c21001f014,c21001f014_moe,c21001f015,c21001f015_moe
1,Southwest,242,146,133,86,133,86,36,55,97,77,0,48,0,48,0,48,109,110,109,110,59,98,50,69,0,48,0,48,0,48
2,Delridge Neighborhoods,713,314,453,235,453,235,0,38,453,235,0,38,0,38,0,38,260,134,226,128,0,38,226,128,34,54,0,38,34,54
3,Greater Duwamish,614,341,455,285,422,270,0,45,422,270,33,59,7,50,26,55,159,113,150,95,0,45,150,95,9,54,0,45,9,54
4,Southeast,464,260,256,176,239,172,23,56,216,168,17,46,17,46,0,45,208,119,159,104,0,45,159,104,49,63,0,45,49,63
5,Central,263,142,144,101,144,101,0,34,144,101,0,34,0,34,0,34,119,73,119,73,12,36,107,64,0,34,0,34,0,34
6,East,611,186,402,153,402,153,0,47,402,153,0,47,0,47,0,47,209,115,209,115,0,47,209,115,0,47,0,47,0,47
7,Northeast,751,308,321,159,321,159,63,99,258,135,0,59,0,59,0,59,430,267,430,267,0,59,430,267,0,59,0,59,0,59
8,North,998,373,665,296,645,296,13,46,632,295,20,46,0,43,20,46,333,147,333,147,28,49,305,146,0,43,0,43,0,43
9,Northwest,1156,355,613,239,593,231,68,76,525,224,20,59,20,59,0,54,543,180,471,167,10,54,461,167,72,72,25,62,47,64
10,Ballard,339,176,132,91,132,91,25,47,107,86,0,43,0,43,0,43,207,112,188,110,0,43,188,110,19,49,0,43,19,49
11,Lake Union,503,210,307,171,295,171,15,46,280,171,12,43,0,42,12,43,196,116,154,104,0,42,154,104,42,66,0,42,42,66
12,Magnolia/Queen Anne,494,188,203,127,203,127,0,51,203,127,0,51,0,51,0,51,291,127,291,127,8,50,283,126,0,51,0,51,0,51
13,Downtown,393,163,178,108,178,108,0,29,178,108,0,29,0,29,0,29,215,133,215,133,0,29,215,133,0,29,0,29,0,29
