area_id,area_name,b17020d001,b17020d001_moe,b17020d002,b17020d002_moe,b17020d003,b17020d003_moe,b17020d004,b17020d004_moe,b17020d005,b17020d005_moe,b17020d006,b17020d006_moe,b17020d007,b17020d007_moe,b17020d008,b17020d008_moe,b17020d009,b17020d009_moe,b17020d010,b17020d010_moe,b17020d011,b17020d011_moe,b17020d012,b17020d012_moe,b17020d013,b17020d013_moe,b17020d014,b17020d014_moe,b17020d015,b17020d015_moe,b17020d016,b17020d016_moe,b17020d017,b17020d017_moe
1,Southwest,2271,363,158,93,0,48,0,48,0,48,34,58,111,83,0,48,13,50,2113,360,148,109,0,48,99,64,101,68,1477,271,164,94,124,82
2,Delridge Neighborhoods,5554,687,833,336,0,38,0,38,56,60,118,101,498,247,125,105,36,48,4721,653,351,162,37,50,254,105,398,150,3178,440,412,145,91,67
3,Greater Duwamish,20641,1396,2031,495,51,56,23,51,103,99,120,92,1011,321,297,120,426,152,18610,1334,1109,289,175,134,1042,233,1368,310,12229,969,1332,287,1355,231
4,Southeast,11350,980,1961,599,157,137,14,49,199,139,220,126,1083,368,127,75,161,94,9389,1007,444,149,96,87,509,200,506,160,6466,719,721,200,647,152
5,Central,2794,417,690,285,0,34,0,34,0,34,43,63,390,233,73,58,184,79,2104,345,32,46,5,31,73,65,92,74,1629,291,126,71,147,82
6,East,4357,570,1380,325,21,52,22,53,33,57,24,53,1059,278,67,58,154,93,2977,501,39,63,29,63,54,63,0,47,2504,418,237,151,114,73
7,Northeast,8370,808,2244,435,15,62,0,59,0,59,54,80,2112,422,49,72,14,61,6126,640,307,118,42,62,279,100,128,78,4856,548,282,126,232,101
8,North,5924,714,988,278,12,43,6,43,18,45,60,81,788,222,29,52,75,77,4936,689,129,97,33,68,124,72,262,113,3848,554,369,144,171,98
9,Northwest,6778,657,1198,353,0,54,0,54,35,75,26,58,961,311,100,88,76,79,5580,628,142,82,66,69,207,102,193,94,4326,506,355,122,291,113
10,Ballard,2112,363,245,192,17,48,0,43,18,48,18,48,143,117,49,67,0,43,1867,342,63,54,0,43,42,50,7,44,1575,308,123,82,57,57
11,Lake Union,4590,649,1475,515,0,42,0,42,0,42,7,43,1351,508,102,92,15,44,3115,468,42,56,7,41,46,58,20,44,2872,438,37,56,91,61
12,Magnolia/Queen Anne,4034,536,262,136,0,51,0,51,0,51,0,51,165,106,77,97,20,54,3772,531,193,117,0,51,166,112,88,74,3026,473,132,129,167,86
13,Downtown,3655,528,1520,427,87,96,0,29,29,53,81,101,590,276,274,151,459,135,2135,333,32,42,0,29,26,36,64,49,1712,296,130,73,171,85
