area_id,area_name,b25014d001,b25014d001_moe,b25014d002,b25014d002_moe,b25014d003,b25014d003_moe
1,Southwest,826,177,805,176,21,51
2,Delridge Neighborhoods,1788,241,1598,235,190,108
3,Greater Duwamish,6214,353,5706,371,508,142
4,Southeast,3454,299,3148,309,306,104
5,Central,1324,204,1248,203,76,52
6,East,2777,383,2694,380,83,69
7,Northeast,3688,347,3579,349,109,85
8,North,2805,313,2608,308,197,130
9,Northwest,2975,321,2855,315,120,100
10,Ballard,936,196,912,198,24,48
11,Lake Union,2649,364,2580,364,69,61
12,Magnolia/Queen Anne,1962,317,1919,317,43,60
13,Downtown,2136,271,1989,275,147,74
