area_id,area_name,c24010d001,c24010d001_moe,c24010d002,c24010d002_moe,c24010d003,c24010d003_moe,c24010d004,c24010d004_moe,c24010d005,c24010d005_moe,c24010d006,c24010d006_moe,c24010d007,c24010d007_moe,c24010d008,c24010d008_moe,c24010d009,c24010d009_moe,c24010d010,c24010d010_moe,c24010d011,c24010d011_moe,c24010d012,c24010d012_moe,c24010d013,c24010d013_moe
1,Southwest,1443,262,465,147,340,131,19,50,64,56,0,48,42,62,978,200,478,136,184,97,190,106,80,94,46,77
2,Delridge Neighborhoods,2935,388,1304,239,382,139,249,128,188,93,173,89,312,132,1631,242,544,145,343,111,524,157,50,85,170,97
3,Greater Duwamish,10577,897,5615,567,993,273,1746,342,971,240,734,194,1171,254,4962,481,1058,249,1749,332,1092,218,0,45,1063,246
4,Southeast,5717,581,2930,357,699,176,840,181,459,173,285,118,647,193,2787,358,786,226,896,231,815,211,40,60,250,101
5,Central,1645,286,803,201,375,119,132,90,122,75,43,64,131,85,842,179,483,136,80,69,250,107,0,34,29,41
6,East,2613,419,1489,325,893,232,271,214,216,105,36,63,73,70,1124,239,700,195,177,97,220,96,0,47,27,50
7,Northeast,5183,563,2486,393,1623,266,291,182,422,180,47,75,103,76,2697,367,1603,262,504,186,432,135,7,58,151,130
8,North,3433,510,1711,363,1040,242,158,106,244,122,61,64,208,101,1722,297,821,169,358,138,472,192,0,43,71,70
9,Northwest,3930,454,1683,283,974,225,228,105,256,130,60,68,165,109,2247,330,1353,266,441,151,369,128,0,54,84,80
10,Ballard,1492,299,439,136,324,114,43,51,50,57,0,43,22,49,1053,265,644,193,183,170,226,107,0,43,0,43
11,Lake Union,2990,449,1531,332,964,264,165,107,353,210,19,46,30,49,1459,308,929,241,219,124,302,150,0,42,9,43
12,Magnolia/Queen Anne,2849,468,1130,311,842,271,39,59,165,98,18,57,66,102,1719,332,953,248,198,124,486,174,11,51,71,88
13,Downtown,1704,288,828,193,491,177,164,89,48,42,10,31,115,72,876,200,316,125,308,111,229,105,0,29,23,34
