area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
1,Southwest,1033,232,455,143,450,142,64,59,386,134,5,46,0,48,5,46,578,164,532,159,0,48,532,159,46,57,0,48,46,57
2,Delridge Neighborhoods,1136,255,535,164,521,163,15,38,506,162,14,42,14,42,0,38,601,180,578,177,0,38,578,177,23,44,0,38,23,44
3,Greater Duwamish,1392,366,694,189,605,178,28,52,577,176,89,72,16,50,73,68,698,234,650,231,0,45,650,231,48,54,15,49,33,50
4,Southeast,1439,332,494,155,463,151,101,72,362,129,31,44,22,44,9,46,945,253,853,247,47,54,806,244,92,67,0,45,92,67
5,Central,1199,353,458,171,423,161,106,108,317,118,35,47,15,34,20,44,741,256,662,243,0,34,662,243,79,83,0,34,79,83
6,East,1704,314,955,251,955,251,30,52,925,249,0,47,0,47,0,47,749,183,733,181,16,50,717,180,16,46,0,47,16,46
7,Northeast,2621,372,1253,247,1192,243,51,82,1141,235,61,71,61,71,0,59,1368,267,1326,265,23,73,1303,262,42,63,0,59,42,63
8,North,1079,267,576,159,548,155,40,44,508,156,28,48,0,43,28,48,503,197,485,195,0,43,485,195,18,46,0,43,18,46
9,Northwest,2168,417,898,233,887,232,50,72,837,223,11,53,4,53,7,54,1270,307,1207,302,21,56,1186,299,63,70,14,56,49,69
10,Ballard,1356,332,579,170,577,170,1,42,576,170,2,42,2,42,0,43,777,245,749,243,18,49,731,241,28,47,0,43,28,47
11,Lake Union,1622,319,625,204,625,204,60,60,565,197,0,42,0,42,0,42,997,247,946,240,0,42,946,240,51,66,0,42,51,66
12,Magnolia/Queen Anne,2031,458,1032,317,1020,316,48,54,972,315,12,52,0,51,12,52,999,254,984,251,0,51,984,251,15,55,15,55,0,51
13,Downtown,640,198,332,149,295,137,4,28,291,136,37,63,1,27,36,64,308,128,308,128,10,31,298,127,0,29,0,29,0,29
