area_id,area_name,b17006001,b17006001_moe,b17006002,b17006002_moe,b17006003,b17006003_moe,b17006004,b17006004_moe,b17006005,b17006005_moe,b17006006,b17006006_moe,b17006007,b17006007_moe,b17006008,b17006008_moe,b17006009,b17006009_moe,b17006010,b17006010_moe,b17006011,b17006011_moe,b17006012,b17006012_moe,b17006013,b17006013_moe,b17006014,b17006014_moe,b17006015,b17006015_moe,b17006016,b17006016_moe,b17006017,b17006017_moe,b17006018,b17006018_moe,b17006019,b17006019_moe,b17006020,b17006020_moe,b17006021,b17006021_moe,b17006022,b17006022_moe,b17006023,b17006023_moe,b17006024,b17006024_moe,b17006025,b17006025_moe,b17006026,b17006026_moe,b17006027,b17006027_moe,b17006028,b17006028_moe,b17006029,b17006029_moe
1,Southwest,8847,502,292,179,150,107,18,47,0,48,132,100,142,151,19,54,0,48,0,48,19,54,123,146,60,80,0,48,63,83,8555,513,7017,491,2421,379,448,155,4148,438,1538,331,234,108,81,76,11,48,142,76,1304,315,384,159,105,102,815,232
2,Delridge Neighborhoods,6910,602,1674,445,854,468,397,229,0,38,457,284,820,297,45,51,32,49,0,38,13,40,775,296,122,109,47,65,606,262,5236,548,3441,496,1441,293,270,111,1730,317,1795,364,516,203,34,50,0,38,482,190,1279,311,386,169,38,50,855,227
3,Greater Duwamish,10609,1049,2719,980,1358,854,357,313,122,96,879,502,1361,481,84,77,10,45,17,50,57,72,1277,477,327,197,20,49,930,342,7890,682,5612,732,2133,418,277,146,3202,467,2278,577,644,261,263,151,61,74,320,164,1634,537,439,225,51,69,1144,432
4,Southeast,9903,825,1869,534,625,344,226,156,14,49,385,223,1244,451,321,190,54,74,0,45,267,169,923,407,151,117,94,90,678,325,8034,772,5413,730,2064,410,329,136,3020,526,2621,549,376,174,53,60,0,45,323,158,2245,538,454,200,72,66,1719,479
5,Central,4427,461,596,292,251,161,142,131,11,37,98,90,345,246,78,110,45,63,0,34,33,61,267,220,79,86,0,34,188,205,3831,403,2731,362,1270,280,123,66,1338,267,1100,333,147,96,28,48,14,39,105,88,953,315,164,104,152,130,637,217
6,East,3838,412,487,229,73,73,29,53,22,53,22,56,414,222,64,65,53,62,0,47,11,48,350,221,255,212,22,57,73,66,3351,375,2815,379,941,252,188,94,1686,294,536,204,69,59,15,50,0,47,54,53,467,201,196,133,15,49,256,158
7,Northeast,11225,459,545,183,139,92,85,78,13,60,41,65,406,170,97,93,0,59,0,59,97,93,309,154,128,99,0,59,181,124,10680,449,9409,455,3015,340,635,157,5759,406,1271,286,372,175,85,80,5,58,282,164,899,230,228,106,33,62,638,189
8,North,6003,477,925,290,281,171,84,65,6,43,191,140,644,237,60,73,0,43,0,43,60,73,584,235,279,135,108,102,197,130,5078,424,3994,378,1488,276,348,108,2158,291,1084,294,246,124,12,43,0,43,234,123,838,269,211,113,24,52,603,220
9,Northwest,10357,686,653,245,291,192,116,109,0,54,175,129,362,162,35,62,0,54,8,54,27,61,327,158,172,119,19,56,136,97,9704,674,8219,631,3402,457,542,133,4275,424,1485,341,435,186,84,73,0,54,351,178,1050,284,121,88,76,72,853,265
10,Ballard,7117,471,360,166,249,148,37,56,10,45,202,139,111,72,45,55,12,44,0,43,33,53,66,64,22,52,0,43,44,57,6757,448,5439,422,2407,307,314,103,2718,350,1318,340,478,235,119,79,21,47,338,220,840,254,103,86,50,63,687,220
11,Lake Union,3719,325,199,157,14,44,14,44,0,42,0,42,185,156,0,42,0,42,0,42,0,42,185,156,112,99,0,42,73,83,3520,304,2764,294,1252,219,266,110,1246,229,756,220,290,139,113,101,0,42,177,102,466,177,93,72,53,59,320,152
12,Magnolia/Queen Anne,8075,566,195,130,137,123,31,70,28,65,78,84,58,65,0,51,0,51,0,51,0,51,58,65,31,59,0,51,27,58,7880,572,7022,579,2565,375,682,226,3775,436,858,245,210,113,14,53,14,54,182,109,648,223,270,170,16,54,362,147
13,Downtown,1003,413,551,392,189,153,87,89,7,29,95,84,362,379,218,339,94,146,29,52,95,151,144,190,58,67,0,29,86,143,452,139,313,117,254,89,0,29,59,65,139,81,28,43,0,29,0,29,28,43,111,71,34,40,0,29,77,54
