area_id,area_name,b25014e001,b25014e001_moe,b25014e002,b25014e002_moe,b25014e003,b25014e003_moe
1,Southwest,116,116,116,116,0,48
2,Delridge Neighborhoods,125,101,115,99,10,39
3,Greater Duwamish,129,87,110,81,19,53
4,Southeast,100,96,87,92,13,53
5,Central,0,34,0,34,0,34
6,East,31,57,31,57,0,47
7,Northeast,0,59,0,59,0,59
8,North,78,71,78,71,0,43
9,Northwest,110,102,94,101,16,55
10,Ballard,44,55,35,53,9,46
11,Lake Union,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29
