area_id,area_name,b09008001,b09008001_moe,b09008002,b09008002_moe,b09008003,b09008003_moe,b09008004,b09008004_moe,b09008005,b09008005_moe,b09008006,b09008006_moe,b09008007,b09008007_moe,b09008008,b09008008_moe,b09008009,b09008009_moe,b09008010,b09008010_moe,b09008011,b09008011_moe,b09008012,b09008012_moe
1,Southwest,9048,515,527,190,490,187,90,82,400,172,37,54,8521,506,8417,496,7209,489,163,86,1045,309,104,103
2,Delridge Neighborhoods,6985,611,441,182,431,183,167,109,264,154,10,39,6544,618,6544,618,4327,575,405,183,1812,395,0,38
3,Greater Duwamish,10767,1054,373,170,357,168,214,137,143,101,16,52,10394,1056,10394,1056,7065,1064,531,231,2798,647,0,45
4,Southeast,10072,820,544,207,490,189,150,116,340,155,54,96,9528,841,9483,845,6083,768,572,249,2828,628,45,74
5,Central,4507,458,289,154,209,115,102,89,107,78,80,109,4218,454,4218,454,2982,384,123,115,1113,374,0,34
6,East,3880,414,208,104,182,96,100,72,82,79,26,61,3672,419,3665,420,2888,378,42,52,735,276,7,46
7,Northeast,11330,464,521,197,495,195,175,121,320,161,26,63,10809,452,10809,452,9579,457,331,176,899,240,0,59
8,North,6155,476,237,128,196,112,35,62,161,103,41,75,5918,463,5907,461,4282,420,349,171,1276,335,11,44
9,Northwest,10499,684,379,140,335,129,133,87,202,102,44,75,10120,684,10054,682,8527,649,337,174,1190,299,66,100
10,Ballard,7156,465,453,180,453,180,231,152,222,119,0,43,6703,470,6664,476,5688,451,292,187,684,231,39,72
11,Lake Union,3814,330,287,133,287,133,102,90,185,110,0,42,3527,345,3449,342,2778,295,205,119,466,201,78,101
12,Magnolia/Queen Anne,8134,565,211,138,192,136,90,110,102,94,19,55,7923,581,7916,581,7159,574,153,101,604,211,7,51
13,Downtown,1003,413,27,50,27,50,0,29,27,50,0,29,976,411,976,411,502,189,246,340,228,197,0,29
