area_id,area_name,b05003c001,b05003c001_moe,b05003c002,b05003c002_moe,b05003c003,b05003c003_moe,b05003c004,b05003c004_moe,b05003c005,b05003c005_moe,b05003c006,b05003c006_moe,b05003c007,b05003c007_moe,b05003c008,b05003c008_moe,b05003c009,b05003c009_moe,b05003c010,b05003c010_moe,b05003c011,b05003c011_moe,b05003c012,b05003c012_moe,b05003c013,b05003c013_moe,b05003c014,b05003c014_moe,b05003c015,b05003c015_moe,b05003c016,b05003c016_moe,b05003c017,b05003c017_moe,b05003c018,b05003c018_moe,b05003c019,b05003c019_moe,b05003c020,b05003c020_moe,b05003c021,b05003c021_moe,b05003c022,b05003c022_moe,b05003c023,b05003c023_moe
1,Southwest,361,183,201,127,66,74,66,74,0,48,0,48,0,48,135,97,135,97,0,48,0,48,0,48,160,96,36,64,36,64,0,48,0,48,0,48,124,86,124,86,0,48,0,48,0,48
2,Delridge Neighborhoods,232,161,110,110,22,50,22,50,0,38,0,38,0,38,88,83,88,83,0,38,0,38,0,38,122,84,23,50,23,50,0,38,0,38,0,38,99,77,81,72,18,47,0,38,18,47
3,Greater Duwamish,464,245,216,132,99,94,99,94,0,45,0,45,0,45,117,72,117,72,0,45,0,45,0,45,248,142,78,72,78,72,0,45,0,45,0,45,170,106,170,106,0,45,0,45,0,45
4,Southeast,377,184,192,137,58,67,58,67,0,45,0,45,0,45,134,123,38,51,96,118,33,56,63,89,185,107,87,84,67,80,20,52,20,52,0,45,98,75,98,75,0,45,0,45,0,45
5,Central,170,111,59,54,0,34,0,34,0,34,0,34,0,34,59,54,44,48,15,40,15,40,0,34,111,102,42,73,42,73,0,34,0,34,0,34,69,56,69,56,0,34,0,34,0,34
6,East,772,262,427,158,23,56,23,56,0,47,0,47,0,47,404,155,374,147,30,66,0,47,30,66,345,159,51,71,51,71,0,47,0,47,0,47,294,136,277,133,17,51,0,47,17,51
7,Northeast,372,167,236,125,52,65,52,65,0,59,0,59,0,59,184,109,179,109,5,58,0,59,5,58,136,96,10,60,10,60,0,59,0,59,0,59,126,92,126,92,0,59,0,59,0,59
8,North,371,230,138,100,35,59,35,59,0,43,0,43,0,43,103,77,103,77,0,43,0,43,0,43,233,144,71,83,71,83,0,43,0,43,0,43,162,91,162,91,0,43,0,43,0,43
9,Northwest,595,237,295,166,92,104,75,85,17,58,0,54,17,58,203,103,164,86,39,78,0,54,39,78,300,141,0,54,0,54,0,54,0,54,0,54,300,141,283,138,17,58,0,54,17,58
10,Ballard,147,90,88,70,11,45,11,45,0,43,0,43,0,43,77,63,57,57,20,50,0,43,20,50,59,69,0,43,0,43,0,43,0,43,0,43,59,69,59,69,0,43,0,43,0,43
11,Lake Union,447,175,319,158,0,42,0,42,0,42,0,42,0,42,319,158,319,158,0,42,0,42,0,42,128,73,0,42,0,42,0,42,0,42,0,42,128,73,128,73,0,42,0,42,0,42
12,Magnolia/Queen Anne,444,193,180,106,45,65,45,65,0,51,0,51,0,51,135,80,102,71,33,63,0,51,33,63,264,133,25,55,25,55,0,51,0,51,0,51,239,128,212,122,27,59,0,51,27,59
13,Downtown,178,108,137,101,0,29,0,29,0,29,0,29,0,29,137,101,127,99,10,29,10,29,0,29,41,45,0,29,0,29,0,29,0,29,0,29,41,45,41,45,0,29,0,29,0,29
