area_id,area_name,b17001f001,b17001f001_moe,b17001f002,b17001f002_moe,b17001f003,b17001f003_moe,b17001f004,b17001f004_moe,b17001f005,b17001f005_moe,b17001f006,b17001f006_moe,b17001f007,b17001f007_moe,b17001f008,b17001f008_moe,b17001f009,b17001f009_moe,b17001f010,b17001f010_moe,b17001f011,b17001f011_moe,b17001f012,b17001f012_moe,b17001f013,b17001f013_moe,b17001f014,b17001f014_moe,b17001f015,b17001f015_moe,b17001f016,b17001f016_moe,b17001f017,b17001f017_moe,b17001f018,b17001f018_moe,b17001f019,b17001f019_moe,b17001f020,b17001f020_moe,b17001f021,b17001f021_moe,b17001f022,b17001f022_moe,b17001f023,b17001f023_moe,b17001f024,b17001f024_moe,b17001f025,b17001f025_moe,b17001f026,b17001f026_moe,b17001f027,b17001f027_moe,b17001f028,b17001f028_moe,b17001f029,b17001f029_moe,b17001f030,b17001f030_moe,b17001f031,b17001f031_moe,b17001f032,b17001f032_moe,b17001f033,b17001f033_moe,b17001f034,b17001f034_moe,b17001f035,b17001f035_moe,b17001f036,b17001f036_moe,b17001f037,b17001f037_moe,b17001f038,b17001f038_moe,b17001f039,b17001f039_moe,b17001f040,b17001f040_moe,b17001f041,b17001f041_moe,b17001f042,b17001f042_moe,b17001f043,b17001f043_moe,b17001f044,b17001f044_moe,b17001f045,b17001f045_moe,b17001f046,b17001f046_moe,b17001f047,b17001f047_moe,b17001f048,b17001f048_moe,b17001f049,b17001f049_moe,b17001f050,b17001f050_moe,b17001f051,b17001f051_moe,b17001f052,b17001f052_moe,b17001f053,b17001f053_moe,b17001f054,b17001f054_moe,b17001f055,b17001f055_moe,b17001f056,b17001f056_moe,b17001f057,b17001f057_moe,b17001f058,b17001f058_moe,b17001f059,b17001f059_moe
1,Southwest,325,199,61,97,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,61,97,0,48,0,48,0,48,0,48,0,48,0,48,0,48,59,98,0,48,2,45,0,48,0,48,0,48,264,182,148,97,0,48,0,48,12,48,0,48,0,48,12,48,29,55,0,48,29,52,17,52,49,69,0,48,0,48,116,125,14,50,0,48,39,62,15,51,0,48,0,48,15,51,0,48,2,47,31,54,0,48,0,48,0,48
2,Delridge Neighborhoods,992,449,277,272,179,203,86,109,0,38,61,72,0,38,0,38,0,38,0,38,32,58,0,38,0,38,0,38,0,38,0,38,98,94,0,38,0,38,22,52,0,38,0,38,0,38,0,38,66,76,10,40,0,38,0,38,0,38,0,38,715,340,496,279,23,50,0,38,21,48,10,39,0,38,21,48,84,102,92,101,93,100,124,112,28,48,0,38,0,38,219,123,25,47,0,38,0,38,10,40,0,38,0,38,0,38,14,43,22,50,91,97,23,46,34,54,0,38
3,Greater Duwamish,826,452,237,198,141,163,0,45,0,45,6,44,0,45,0,45,0,45,43,81,73,106,7,45,0,45,12,53,0,45,0,45,96,112,0,45,0,45,38,79,6,45,8,45,0,45,0,45,24,56,6,44,14,49,0,45,0,45,0,45,589,373,386,233,19,52,0,45,33,67,14,50,0,45,0,45,12,48,62,73,134,100,66,64,13,53,33,59,0,45,203,167,47,58,0,45,25,61,16,51,0,45,0,45,23,52,47,61,26,52,0,45,10,47,9,54,0,45
4,Southeast,780,555,95,85,40,60,0,45,0,45,0,45,0,45,0,45,0,45,17,49,0,45,0,45,0,45,23,56,0,45,0,45,55,63,0,45,0,45,0,45,0,45,0,45,0,45,0,45,31,52,0,45,0,45,0,45,24,58,0,45,685,549,447,440,14,48,0,45,138,153,48,81,0,45,49,84,50,85,52,74,11,47,63,84,14,48,0,45,8,45,238,187,0,45,0,45,0,45,94,117,0,45,0,45,14,48,0,45,6,47,91,93,17,50,7,49,9,46
5,Central,335,170,46,70,32,67,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,32,67,0,34,0,34,0,34,0,34,14,39,0,34,0,34,0,34,0,34,0,34,0,34,14,39,0,34,0,34,0,34,0,34,0,34,0,34,289,153,149,90,25,45,0,34,0,34,0,34,0,34,12,38,0,34,29,45,54,57,29,42,0,34,0,34,0,34,140,81,35,48,0,34,0,34,0,34,0,34,0,34,0,34,49,46,36,53,20,36,0,34,0,34,0,34
6,East,511,186,62,58,16,50,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,16,50,0,47,0,47,0,47,0,47,46,55,0,47,0,47,0,47,0,47,0,47,0,47,14,51,14,50,0,47,18,47,0,47,0,47,0,47,449,181,296,143,0,47,0,47,11,47,0,47,0,47,0,47,67,68,105,81,36,70,77,96,0,47,0,47,0,47,153,108,0,47,0,47,12,48,0,47,0,47,0,47,12,49,67,80,8,47,0,47,54,84,0,47,0,47
7,Northeast,633,308,249,257,101,105,0,59,0,59,0,59,0,59,0,59,0,59,101,105,0,59,0,59,0,59,0,59,0,59,0,59,148,243,0,59,0,59,0,59,0,59,0,59,0,59,148,243,0,59,0,59,0,59,0,59,0,59,0,59,384,175,194,129,0,59,14,62,42,73,0,59,0,59,0,59,0,59,18,61,57,71,53,99,10,60,0,59,0,59,190,114,16,63,24,62,0,59,0,59,0,59,0,59,18,65,35,63,83,96,14,58,0,59,0,59,0,59
8,North,1203,444,122,148,97,120,16,49,0,43,16,48,0,43,0,43,15,48,10,45,0,43,23,49,17,50,0,43,0,43,0,43,25,50,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,15,48,0,43,10,45,0,43,0,43,1081,449,719,357,0,43,0,43,14,46,11,45,16,50,63,75,59,83,314,244,144,108,68,78,10,44,0,43,20,46,362,183,32,61,0,43,13,45,15,47,0,43,0,43,35,63,67,63,172,110,28,49,0,43,0,43,0,43
9,Northwest,1273,396,94,78,37,68,0,54,0,54,0,54,0,54,0,54,0,54,18,66,0,54,17,57,0,54,2,53,0,54,0,54,57,65,0,54,0,54,0,54,0,54,0,54,0,54,9,54,9,55,0,54,0,54,21,59,0,54,18,59,1179,383,651,251,0,54,31,62,30,61,0,54,0,54,14,58,44,66,316,177,132,95,62,112,2,53,20,59,0,54,528,190,0,54,0,54,15,58,21,57,0,54,6,54,64,78,223,121,117,82,17,57,11,55,35,63,19,59
10,Ballard,368,202,45,61,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,45,61,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,26,57,0,43,0,43,19,49,0,43,323,177,132,91,0,43,0,43,0,43,0,43,0,43,0,43,9,43,45,66,53,71,11,45,14,45,0,43,0,43,191,112,29,61,0,43,0,43,0,43,0,43,0,43,0,43,52,54,97,93,0,43,13,45,0,43,0,43
