area_id,area_name,b99084001,b99084001_moe,b99084002,b99084002_moe,b99084003,b99084003_moe,b99084004,b99084004_moe,b99084005,b99084005_moe
1,Southwest,27930,-1,25806,-1,1429,-1,24377,-1,2124,-1
2,Delridge Neighborhoods,18280,-1,17487,-1,1861,-1,15626,-1,793,-1
3,Greater Duwamish,23165,-1,22594,-1,2879,-1,19715,-1,571,-1
4,Southeast,22046,-1,20897,-1,2097,-1,18800,-1,1149,-1
5,Central,17277,-1,16123,-1,1485,-1,14638,-1,1154,-1
6,East,32499,-1,30699,-1,2316,-1,28383,-1,1800,-1
7,Northeast,42414,-1,39308,-1,3286,-1,36022,-1,3106,-1
8,North,22378,-1,21391,-1,2009,-1,19382,-1,987,-1
9,Northwest,40650,-1,37768,-1,2625,-1,35143,-1,2882,-1
10,Ballard,27338,-1,25374,-1,1805,-1,23569,-1,1964,-1
11,Lake Union,29994,-1,28149,-1,2376,-1,25773,-1,1845,-1
12,Magnolia/Queen Anne,36929,-1,33935,-1,2757,-1,31178,-1,2994,-1
13,Downtown,9773,-1,8877,-1,741,-1,8136,-1,896,-1
