area_id,area_name,b22005e001,b22005e001_moe,b22005e002,b22005e002_moe,b22005e003,b22005e003_moe
1,Southwest,116,116,0,48,116,116
2,Delridge Neighborhoods,125,101,19,43,106,99
3,Greater Duwamish,129,87,63,68,66,69
4,Southeast,100,96,42,74,58,75
5,Central,0,34,0,34,0,34
6,East,31,57,0,47,31,57
7,Northeast,0,59,0,59,0,59
8,North,78,71,18,47,60,68
9,Northwest,110,102,27,56,83,101
10,Ballard,44,55,30,54,14,45
11,Lake Union,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29
