area_id,area_name,b19062001,b19062001_moe
1,Southwest,1837913800,90527319
2,Delridge Neighborhoods,861588000,43125934
3,Greater Duwamish,860759700,46400242
4,Southeast,1112236600,61105243
5,Central,1117133500,98727656
6,East,1850446200,93259381
7,Northeast,2511177100,96112110
8,North,1102095300,52057327
9,Northwest,2257898300,83182879
10,Ballard,1582752000,67555260
11,Lake Union,1655347600,76690092
12,Magnolia/Queen Anne,2504670400,109365881
13,Downtown,697006200,74238158
