area_id,area_name,b12002c001,b12002c001_moe,b12002c002,b12002c002_moe,b12002c003,b12002c003_moe,b12002c004,b12002c004_moe,b12002c005,b12002c005_moe,b12002c006,b12002c006_moe,b12002c007,b12002c007_moe,b12002c008,b12002c008_moe,b12002c009,b12002c009_moe,b12002c010,b12002c010_moe,b12002c011,b12002c011_moe,b12002c012,b12002c012_moe,b12002c013,b12002c013_moe
1,Southwest,305,144,145,99,87,91,44,58,0,48,0,48,14,51,160,96,107,82,38,51,0,48,0,48,15,51
2,Delridge Neighborhoods,187,125,88,83,58,77,30,49,0,38,0,38,0,38,99,77,8,39,3,37,18,47,0,38,70,71
3,Greater Duwamish,354,188,166,103,102,82,57,58,0,45,7,45,0,45,188,122,48,72,69,59,0,45,23,49,48,75
4,Southeast,267,148,169,130,116,104,42,56,0,45,0,45,11,46,98,75,33,55,22,47,15,48,0,45,28,51
5,Central,128,72,59,54,44,48,0,34,0,34,0,34,15,40,69,56,22,38,19,36,0,34,0,34,28,51
6,East,699,233,405,154,265,137,17,51,8,48,0,47,115,80,294,136,192,118,50,64,20,53,0,47,32,58
7,Northeast,315,144,189,109,96,93,93,79,0,59,0,59,0,59,126,92,53,78,31,62,0,59,0,59,42,73
8,North,267,147,103,77,44,70,53,54,0,43,0,43,6,43,164,91,52,53,30,54,0,43,15,46,67,72
9,Northwest,503,188,203,103,108,76,38,60,1,52,0,54,56,67,300,141,89,81,81,70,7,54,12,54,111,102
10,Ballard,136,84,77,63,51,57,0,43,0,43,0,43,26,50,59,69,0,43,14,47,0,43,0,43,45,65
11,Lake Union,447,175,319,158,246,146,19,49,11,46,2,38,41,64,128,73,11,42,29,47,0,42,14,46,74,61
12,Magnolia/Queen Anne,385,167,135,80,76,70,59,62,0,51,0,51,0,51,250,130,144,107,28,58,0,51,13,53,65,80
13,Downtown,178,108,137,101,112,93,0,29,0,29,0,29,25,46,41,45,12,33,0,29,0,29,14,35,15,38
