area_id,area_name,b17001e001,b17001e001_moe,b17001e002,b17001e002_moe,b17001e003,b17001e003_moe,b17001e004,b17001e004_moe,b17001e005,b17001e005_moe,b17001e006,b17001e006_moe,b17001e007,b17001e007_moe,b17001e008,b17001e008_moe,b17001e009,b17001e009_moe,b17001e010,b17001e010_moe,b17001e011,b17001e011_moe,b17001e012,b17001e012_moe,b17001e013,b17001e013_moe,b17001e014,b17001e014_moe,b17001e015,b17001e015_moe,b17001e016,b17001e016_moe,b17001e017,b17001e017_moe,b17001e018,b17001e018_moe,b17001e019,b17001e019_moe,b17001e020,b17001e020_moe,b17001e021,b17001e021_moe,b17001e022,b17001e022_moe,b17001e023,b17001e023_moe,b17001e024,b17001e024_moe,b17001e025,b17001e025_moe,b17001e026,b17001e026_moe,b17001e027,b17001e027_moe,b17001e028,b17001e028_moe,b17001e029,b17001e029_moe,b17001e030,b17001e030_moe,b17001e031,b17001e031_moe,b17001e032,b17001e032_moe,b17001e033,b17001e033_moe,b17001e034,b17001e034_moe,b17001e035,b17001e035_moe,b17001e036,b17001e036_moe,b17001e037,b17001e037_moe,b17001e038,b17001e038_moe,b17001e039,b17001e039_moe,b17001e040,b17001e040_moe,b17001e041,b17001e041_moe,b17001e042,b17001e042_moe,b17001e043,b17001e043_moe,b17001e044,b17001e044_moe,b17001e045,b17001e045_moe,b17001e046,b17001e046_moe,b17001e047,b17001e047_moe,b17001e048,b17001e048_moe,b17001e049,b17001e049_moe,b17001e050,b17001e050_moe,b17001e051,b17001e051_moe,b17001e052,b17001e052_moe,b17001e053,b17001e053_moe,b17001e054,b17001e054_moe,b17001e055,b17001e055_moe,b17001e056,b17001e056_moe,b17001e057,b17001e057_moe,b17001e058,b17001e058_moe,b17001e059,b17001e059_moe
1,Southwest,131,126,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,131,126,15,58,0,48,0,48,0,48,0,48,0,48,0,48,0,48,8,49,0,48,0,48,7,48,0,48,0,48,116,116,0,48,0,48,0,48,0,48,0,48,0,48,0,48,52,86,57,92,0,48,7,48,0,48,0,48
2,Delridge Neighborhoods,275,182,35,76,24,59,0,38,0,38,12,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,12,43,0,38,0,38,11,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,11,42,0,38,0,38,0,38,240,171,140,122,0,38,0,38,18,40,0,38,0,38,0,38,10,41,74,92,10,39,0,38,17,40,11,39,0,38,100,86,0,38,0,38,0,38,11,40,16,46,0,38,0,38,13,41,10,40,0,38,28,45,22,51,0,38
3,Greater Duwamish,497,307,10,47,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,10,47,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,10,47,0,45,0,45,487,306,243,169,0,45,0,45,32,69,13,49,0,45,0,45,84,94,18,53,44,81,28,58,15,50,9,47,0,45,244,167,0,45,17,52,6,45,18,52,10,47,11,47,25,56,51,68,0,45,75,74,0,45,0,45,31,68
4,Southeast,353,356,94,134,52,82,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,52,82,0,45,42,74,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,42,74,0,45,0,45,259,330,68,115,10,49,0,45,0,45,0,45,0,45,0,45,0,45,13,51,0,45,0,45,28,60,17,61,0,45,191,232,24,72,0,45,24,73,0,45,0,45,0,45,35,69,63,84,0,45,34,68,0,45,11,47,0,45
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34
6,East,31,57,17,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,17,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,17,52,0,47,0,47,0,47,14,52,14,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,14,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,77,79,22,67,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,22,67,0,59,0,59,0,59,0,59,0,59,0,59,22,67,0,59,0,59,0,59,0,59,0,59,0,59,55,72,32,64,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,13,60,0,59,0,59,19,62,0,59,23,68,0,59,0,59,8,59,0,59,0,59,0,59,0,59,0,59,15,67,0,59,0,59,0,59,0,59
8,North,247,191,104,148,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,104,148,0,43,0,43,21,51,0,43,0,43,25,53,0,43,0,43,0,43,18,47,0,43,40,69,0,43,143,127,76,83,0,43,0,43,0,43,0,43,0,43,0,43,0,43,76,83,0,43,0,43,0,43,0,43,0,43,67,75,0,43,0,43,0,43,0,43,0,43,0,43,53,74,0,43,14,46,0,43,0,43,0,43,0,43
9,Northwest,314,178,39,62,19,60,0,54,0,54,0,54,0,54,0,54,0,54,19,60,0,54,0,54,0,54,0,54,0,54,0,54,20,57,0,54,0,54,0,54,0,54,0,54,0,54,20,57,0,54,0,54,0,54,0,54,0,54,0,54,275,162,112,94,9,53,0,54,13,54,0,54,0,54,0,54,18,56,18,56,21,56,22,58,11,55,0,54,0,54,163,114,24,55,0,54,5,53,19,60,0,54,0,54,0,54,63,102,27,56,25,60,0,54,0,54,0,54
10,Ballard,112,135,88,135,27,64,0,43,0,43,0,43,0,43,0,43,12,47,9,46,0,43,6,43,0,43,0,43,0,43,0,43,61,91,0,43,0,43,0,43,0,43,0,43,11,46,20,57,0,43,0,43,30,54,0,43,0,43,0,43,24,45,10,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,10,44,0,43,0,43,14,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,45,0,43,0,43,0,43
11,Lake Union,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,56,87,56,87,0,42,0,42,0,42,0,42,0,42,0,42,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,32,60,1,50,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,1,50,0,51,0,51,0,51,0,51,0,51,0,51,0,51,1,50,0,51,0,51,0,51,0,51,0,51,31,61,12,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,12,51,0,51,0,51,0,51,0,51,19,52,0,51,0,51,14,53,0,51,0,51,0,51,0,51,0,51,5,50,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
