area_id,area_name,b17020b001,b17020b001_moe,b17020b002,b17020b002_moe,b17020b003,b17020b003_moe,b17020b004,b17020b004_moe,b17020b005,b17020b005_moe,b17020b006,b17020b006_moe,b17020b007,b17020b007_moe,b17020b008,b17020b008_moe,b17020b009,b17020b009_moe,b17020b010,b17020b010_moe,b17020b011,b17020b011_moe,b17020b012,b17020b012_moe,b17020b013,b17020b013_moe,b17020b014,b17020b014_moe,b17020b015,b17020b015_moe,b17020b016,b17020b016_moe,b17020b017,b17020b017_moe
1,Southwest,898,276,340,183,0,48,0,48,38,60,0,48,302,161,0,48,0,48,558,200,20,55,0,48,0,48,27,62,511,191,0,48,0,48
2,Delridge Neighborhoods,4666,683,1668,503,296,205,0,38,282,171,184,138,794,259,96,98,16,39,2998,672,244,209,44,65,239,161,271,136,2058,434,94,62,48,50
3,Greater Duwamish,8532,1267,3277,1190,437,325,119,95,617,306,535,283,1374,402,86,80,109,98,5255,911,590,233,35,70,682,275,206,112,3212,574,271,116,259,136
4,Southeast,11547,1199,2227,669,130,110,85,88,342,260,123,101,1348,391,158,99,41,52,9320,1069,616,316,111,86,599,192,867,295,5777,687,924,228,426,137
5,Central,6441,892,1349,523,158,133,11,37,74,103,124,117,680,291,188,111,114,71,5092,804,121,91,66,81,431,183,246,114,3362,650,395,131,471,125
6,East,3232,603,1089,395,217,207,0,47,17,53,32,53,769,245,26,53,28,55,2143,460,186,133,0,47,96,84,189,188,1337,311,247,131,88,73
7,Northeast,1564,399,437,198,66,80,0,59,31,69,49,73,291,155,0,59,0,59,1127,337,38,65,8,59,48,86,26,63,814,285,42,65,151,123
8,North,1949,494,497,276,52,77,45,79,64,71,78,79,256,149,0,43,2,40,1452,407,40,64,11,46,60,72,63,68,1171,322,107,85,0,43
9,Northwest,2775,658,752,282,68,98,0,54,0,54,1,52,672,237,11,52,0,54,2023,581,226,164,0,54,257,213,25,58,1441,393,49,80,25,62
10,Ballard,345,195,31,47,0,43,0,43,0,43,0,43,17,49,14,46,0,43,314,194,0,43,0,43,42,74,62,77,210,125,0,43,0,43
11,Lake Union,1283,378,452,237,40,73,0,42,44,78,0,42,343,151,16,43,9,43,831,298,20,52,0,42,32,50,72,84,664,211,32,53,11,45
12,Magnolia/Queen Anne,1429,528,222,192,0,51,0,51,0,51,0,51,213,189,5,50,4,49,1207,447,0,51,98,156,30,56,51,71,993,334,13,54,22,54
13,Downtown,1798,579,1043,514,139,153,36,54,113,154,26,47,694,241,35,43,0,29,755,287,6,34,0,29,3,29,9,42,711,269,26,40,0,29
