area_id,area_name,c23002c001,c23002c001_moe,c23002c002,c23002c002_moe,c23002c003,c23002c003_moe,c23002c004,c23002c004_moe,c23002c005,c23002c005_moe,c23002c006,c23002c006_moe,c23002c007,c23002c007_moe,c23002c008,c23002c008_moe,c23002c009,c23002c009_moe,c23002c010,c23002c010_moe,c23002c011,c23002c011_moe,c23002c012,c23002c012_moe,c23002c013,c23002c013_moe,c23002c014,c23002c014_moe,c23002c015,c23002c015_moe,c23002c016,c23002c016_moe,c23002c017,c23002c017_moe,c23002c018,c23002c018_moe,c23002c019,c23002c019_moe,c23002c020,c23002c020_moe,c23002c021,c23002c021_moe,c23002c022,c23002c022_moe,c23002c023,c23002c023_moe,c23002c024,c23002c024_moe,c23002c025,c23002c025_moe,c23002c026,c23002c026_moe,c23002c027,c23002c027_moe
1,Southwest,287,135,145,99,121,96,119,96,0,48,119,96,119,96,0,48,2,45,24,51,0,48,0,48,0,48,24,51,142,88,142,88,112,85,0,48,112,85,99,78,13,49,30,52,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,187,125,88,83,88,83,48,55,0,38,48,55,48,55,0,38,40,73,0,38,0,38,0,38,0,38,0,38,99,77,99,77,71,67,0,38,71,67,71,67,0,38,28,55,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,319,160,149,88,149,88,125,75,0,45,125,75,110,71,15,50,24,51,0,45,0,45,0,45,0,45,0,45,170,106,134,94,97,95,0,45,97,95,97,95,0,45,37,45,36,51,23,49,23,49,0,45,13,47
4,Southeast,257,147,159,129,156,129,131,123,0,45,131,123,131,123,0,45,25,57,3,44,0,45,0,45,0,45,3,44,98,75,81,72,26,52,0,45,26,52,26,52,0,45,55,67,17,50,0,45,0,45,0,45,17,50
5,Central,128,72,59,54,59,54,32,48,0,34,32,48,32,48,0,34,27,42,0,34,0,34,0,34,0,34,0,34,69,56,69,56,60,54,0,34,60,54,60,54,0,34,9,36,0,34,0,34,0,34,0,34,0,34
6,East,699,233,405,154,374,153,201,122,0,47,201,122,183,121,18,46,173,103,31,50,0,47,0,47,0,47,31,50,294,136,294,136,240,127,0,47,240,127,240,127,0,47,54,64,0,47,0,47,0,47,0,47,0,47
7,Northeast,315,144,189,109,189,109,169,108,7,59,162,108,116,82,46,90,20,61,0,59,0,59,0,59,0,59,0,59,126,92,107,82,84,69,0,59,84,69,84,69,0,59,23,73,19,71,0,59,0,59,0,59,19,71
8,North,267,147,103,77,103,77,68,70,0,43,68,70,68,70,0,43,35,53,0,43,0,43,0,43,0,43,0,43,164,91,138,91,122,86,0,43,122,86,122,86,0,43,16,44,26,46,0,43,0,43,0,43,26,46
9,Northwest,503,188,203,103,192,102,149,95,0,54,149,95,126,93,23,57,43,64,11,52,7,54,7,54,0,54,4,52,300,141,255,133,228,130,0,54,228,130,183,114,45,84,27,58,45,66,0,54,0,54,0,54,45,66
10,Ballard,136,84,77,63,60,59,45,55,0,43,45,55,34,53,11,46,15,49,17,44,6,43,6,43,0,43,11,45,59,69,45,65,28,50,0,43,28,50,28,50,0,43,17,48,14,47,0,43,0,43,0,43,14,47
11,Lake Union,447,175,319,158,308,156,189,122,0,42,189,122,141,103,48,85,119,104,11,46,0,42,0,42,0,42,11,46,128,73,112,68,71,52,0,42,71,52,46,45,25,48,41,56,16,48,0,42,0,42,0,42,16,48
12,Magnolia/Queen Anne,385,167,135,80,126,80,98,75,0,51,98,75,98,75,0,51,28,57,9,51,0,51,0,51,0,51,9,51,250,130,183,114,146,104,0,51,146,104,146,104,0,51,37,62,67,80,13,53,13,53,0,51,54,70
13,Downtown,178,108,137,101,137,101,71,85,0,29,71,85,71,85,0,29,66,62,0,29,0,29,0,29,0,29,0,29,41,45,14,32,12,33,0,29,12,33,12,33,0,29,2,27,27,44,0,29,0,29,0,29,27,44
