area_id,area_name,c24010i001,c24010i001_moe,c24010i002,c24010i002_moe,c24010i003,c24010i003_moe,c24010i004,c24010i004_moe,c24010i005,c24010i005_moe,c24010i006,c24010i006_moe,c24010i007,c24010i007_moe,c24010i008,c24010i008_moe,c24010i009,c24010i009_moe,c24010i010,c24010i010_moe,c24010i011,c24010i011_moe,c24010i012,c24010i012_moe,c24010i013,c24010i013_moe
1,Southwest,1126,295,532,184,310,140,43,67,28,56,59,60,92,103,594,186,366,145,112,94,116,79,0,48,0,48
2,Delridge Neighborhoods,2246,452,1517,360,274,136,600,284,123,91,168,133,352,178,729,195,155,78,221,123,336,155,0,38,17,46
3,Greater Duwamish,2184,571,1431,458,87,72,547,245,204,136,309,162,284,198,753,222,189,101,381,150,119,98,28,52,36,65
4,Southeast,1784,464,1047,407,180,114,260,170,108,81,358,276,141,105,737,234,218,122,307,163,195,128,0,45,17,50
5,Central,1020,282,482,216,225,102,137,97,25,42,55,70,40,57,538,162,266,107,163,98,71,63,0,34,38,56
6,East,2018,388,1228,326,456,195,327,144,121,80,203,183,121,98,790,219,283,112,232,146,260,134,0,47,15,51
7,Northeast,1314,284,580,162,304,114,75,88,161,91,23,59,17,59,734,215,326,122,131,77,277,180,0,59,0,59
8,North,1796,424,1141,361,239,97,235,130,100,114,454,314,113,88,655,205,193,85,67,71,378,183,0,43,17,49
9,Northwest,2346,416,1406,320,641,209,333,175,168,106,212,154,52,65,940,222,431,157,217,108,254,112,19,60,19,56
10,Ballard,1384,328,633,202,270,122,185,134,68,60,67,84,43,53,751,238,412,193,166,90,164,110,0,43,9,44
11,Lake Union,1439,280,803,220,441,145,200,143,99,66,9,42,54,64,636,167,395,131,132,90,109,82,0,42,0,42
12,Magnolia/Queen Anne,1673,394,857,272,402,167,63,64,79,70,78,107,235,181,816,223,450,164,234,133,132,86,0,51,0,51
13,Downtown,338,142,172,85,76,65,53,51,13,33,14,33,16,35,166,116,89,85,70,83,7,29,0,29,0,29
