area_id,area_name,b16002001,b16002001_moe,b16002002,b16002002_moe,b16002003,b16002003_moe,b16002004,b16002004_moe,b16002005,b16002005_moe,b16002006,b16002006_moe,b16002007,b16002007_moe,b16002008,b16002008_moe,b16002009,b16002009_moe,b16002010,b16002010_moe,b16002011,b16002011_moe,b16002012,b16002012_moe,b16002013,b16002013_moe,b16002014,b16002014_moe
1,Southwest,23226,383,19959,500,789,202,77,64,712,195,1408,280,193,126,1215,253,953,202,55,59,898,198,117,79,0,48,117,79
2,Delridge Neighborhoods,14850,356,10389,456,1363,255,358,161,1005,213,418,134,87,62,331,121,1961,262,502,147,1459,250,719,211,220,149,499,158
3,Greater Duwamish,16086,331,7587,430,1108,211,356,141,752,178,389,128,7,44,382,128,5692,343,2262,306,3430,337,1310,264,730,246,580,167
4,Southeast,17612,387,11358,508,1184,245,241,134,943,235,598,172,114,72,484,150,3208,318,1011,221,2197,287,1264,272,639,228,625,172
5,Central,13921,329,11039,431,727,211,102,84,625,199,711,196,51,57,660,182,1162,189,417,96,745,167,282,127,104,85,178,93
6,East,29701,474,23814,641,1234,282,230,175,1004,234,2138,372,253,135,1885,351,1966,346,676,245,1290,272,549,208,284,163,265,136
7,Northeast,30311,401,23610,586,1214,245,57,68,1157,241,2197,315,247,136,1950,289,3016,347,582,151,2434,313,274,114,55,71,219,104
8,North,19461,351,14415,491,1137,245,223,124,914,226,861,179,163,83,698,160,2276,299,858,210,1418,250,772,246,371,172,401,183
9,Northwest,33168,437,26523,622,1465,286,269,125,1196,259,1953,311,264,164,1689,270,2621,322,491,150,2130,303,606,194,137,115,469,172
10,Ballard,21236,330,17976,474,1035,273,100,82,935,256,1235,266,122,75,1113,264,839,230,123,97,716,217,151,101,36,55,115,94
11,Lake Union,24520,524,20034,615,982,221,129,80,853,210,1481,264,123,102,1358,247,1829,325,434,156,1395,284,194,111,18,49,176,107
12,Magnolia/Queen Anne,29974,461,25451,610,922,219,108,81,814,205,1994,303,102,76,1892,298,1386,247,269,125,1117,232,221,120,0,51,221,120
13,Downtown,11410,381,8323,435,303,131,37,40,266,125,812,206,43,47,769,201,1729,241,1007,154,722,201,243,159,173,147,70,63
