area_id,area_name,b18101b001,b18101b001_moe,b18101b002,b18101b002_moe,b18101b003,b18101b003_moe,b18101b004,b18101b004_moe,b18101b005,b18101b005_moe,b18101b006,b18101b006_moe,b18101b007,b18101b007_moe,b18101b008,b18101b008_moe,b18101b009,b18101b009_moe,b18101b010,b18101b010_moe
1,Southwest,873,267,85,76,0,48,85,76,788,245,88,100,700,227,0,48,0,48,0,48
2,Delridge Neighborhoods,4688,686,1582,369,44,59,1538,351,2852,468,363,173,2489,415,254,124,111,101,143,75
3,Greater Duwamish,8534,1267,3237,948,15,49,3222,947,4572,604,510,181,4062,560,725,207,314,150,411,134
4,Southeast,11606,1199,2943,632,79,87,2864,633,7114,783,840,224,6274,781,1549,260,484,157,1065,237
5,Central,6441,892,1231,363,31,48,1200,363,4042,677,701,225,3341,589,1168,208,533,155,635,156
6,East,3241,601,744,279,67,83,677,247,2108,399,331,151,1777,375,389,149,186,100,203,116
7,Northeast,1753,409,308,163,43,80,265,138,1252,333,92,83,1160,313,193,124,58,80,135,98
8,North,1949,494,413,206,0,43,413,206,1427,372,46,57,1381,365,109,85,44,58,65,74
9,Northwest,2745,652,577,285,27,66,550,282,2083,469,516,212,1567,403,85,90,76,87,9,54
10,Ballard,327,194,104,98,0,43,104,98,209,125,22,52,187,120,14,46,0,43,14,46
11,Lake Union,1291,379,208,177,0,42,208,177,1015,258,158,101,857,246,68,59,13,44,55,58
12,Magnolia/Queen Anne,1497,540,212,189,0,51,212,189,1241,421,206,163,1035,381,44,53,29,50,15,54
13,Downtown,1821,580,344,359,0,29,344,359,1416,351,304,127,1112,315,61,54,13,40,48,46
