area_id,area_name,b25003e001,b25003e001_moe,b25003e002,b25003e002_moe,b25003e003,b25003e003_moe
1,Southwest,116,116,0,48,116,116
2,Delridge Neighborhoods,125,101,33,52,92,93
3,Greater Duwamish,129,87,60,67,69,70
4,Southeast,100,96,45,69,55,79
5,Central,0,34,0,34,0,34
6,East,31,57,0,47,31,57
7,Northeast,0,59,0,59,0,59
8,North,78,71,11,44,67,70
9,Northwest,110,102,11,54,99,104
10,Ballard,44,55,0,43,44,55
11,Lake Union,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29
