area_id,area_name,b11001e001,b11001e001_moe,b11001e002,b11001e002_moe,b11001e003,b11001e003_moe,b11001e004,b11001e004_moe,b11001e005,b11001e005_moe,b11001e006,b11001e006_moe,b11001e007,b11001e007_moe,b11001e008,b11001e008_moe,b11001e009,b11001e009_moe
1,Southwest,116,116,116,116,0,48,116,116,0,48,116,116,0,48,0,48,0,48
2,Delridge Neighborhoods,125,101,71,59,41,48,30,52,8,39,22,51,54,90,54,90,0,38
3,Greater Duwamish,129,87,119,85,96,79,23,55,0,45,23,55,10,47,10,47,0,45
4,Southeast,100,96,100,96,66,80,34,68,0,45,34,68,0,45,0,45,0,45
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,31,57,0,47,0,47,0,47,0,47,0,47,31,57,31,57,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,78,71,48,65,30,63,18,47,0,43,18,47,30,51,19,50,11,44
9,Northwest,110,102,47,58,31,56,16,55,0,54,16,55,63,102,63,102,0,54
10,Ballard,44,55,9,46,9,46,0,43,0,43,0,43,35,53,35,53,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
