area_id,area_name,b16005i001,b16005i001_moe,b16005i002,b16005i002_moe,b16005i003,b16005i003_moe,b16005i004,b16005i004_moe,b16005i005,b16005i005_moe,b16005i006,b16005i006_moe,b16005i007,b16005i007_moe,b16005i008,b16005i008_moe,b16005i009,b16005i009_moe,b16005i010,b16005i010_moe,b16005i011,b16005i011_moe
1,Southwest,2024,498,1704,447,1088,357,616,269,512,253,104,84,320,133,55,62,265,121,191,109,74,69
2,Delridge Neighborhoods,4067,708,2449,539,1369,348,1080,435,856,348,224,144,1618,437,18,47,1600,438,309,141,1291,406
3,Greater Duwamish,4143,816,2068,479,966,395,1102,312,903,288,199,126,2075,627,24,51,2051,626,509,221,1542,522
4,Southeast,3365,769,1804,495,897,395,907,342,792,316,115,87,1561,506,45,55,1516,500,430,213,1086,403
5,Central,1485,347,829,195,575,158,254,117,225,110,29,43,656,257,88,65,568,249,254,120,314,224
6,East,3133,514,2191,369,1557,295,634,206,579,200,55,63,942,389,88,79,854,382,379,212,475,314
7,Northeast,2639,451,1937,385,1143,262,794,277,728,272,66,66,702,248,220,139,482,211,371,167,111,95
8,North,2735,570,1597,396,840,234,757,318,529,221,228,169,1138,446,56,60,1082,443,177,93,905,427
9,Northwest,3886,667,2558,446,1694,344,864,277,732,266,132,88,1328,419,51,65,1277,417,523,224,754,303
10,Ballard,2017,455,1430,330,865,229,565,249,480,214,85,117,587,322,90,73,497,314,243,157,254,186
11,Lake Union,1996,337,1425,271,883,215,542,173,439,161,103,75,571,188,141,98,430,163,357,151,73,66
12,Magnolia/Queen Anne,2458,489,1832,375,1349,327,483,179,477,179,6,50,626,239,140,125,486,206,202,121,284,172
13,Downtown,735,243,405,162,287,118,118,84,104,81,14,36,330,167,146,120,184,129,71,82,113,103
