area_id,area_name,b19101f001,b19101f001_moe,b19101f002,b19101f002_moe,b19101f003,b19101f003_moe,b19101f004,b19101f004_moe,b19101f005,b19101f005_moe,b19101f006,b19101f006_moe,b19101f007,b19101f007_moe,b19101f008,b19101f008_moe,b19101f009,b19101f009_moe,b19101f010,b19101f010_moe,b19101f011,b19101f011_moe,b19101f012,b19101f012_moe,b19101f013,b19101f013_moe,b19101f014,b19101f014_moe,b19101f015,b19101f015_moe,b19101f016,b19101f016_moe,b19101f017,b19101f017_moe
1,Southwest,45,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,15,51,0,48,0,48,0,48,0,48,15,51,13,49,0,48,2,47
2,Delridge Neighborhoods,271,135,0,38,31,60,32,58,100,106,0,38,22,50,0,38,10,40,38,56,22,49,16,44,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,143,80,18,53,7,45,10,47,0,45,12,46,0,45,34,55,0,45,10,47,19,53,21,52,0,45,0,45,12,47,0,45,0,45
4,Southeast,158,106,0,45,0,45,0,45,0,45,0,45,16,49,0,45,0,45,0,45,0,45,47,68,66,86,15,49,14,47,0,45,0,45
5,Central,73,59,0,34,0,34,0,34,0,34,0,34,0,34,0,34,13,38,0,34,0,34,0,34,24,42,0,34,21,47,0,34,15,38
6,East,83,68,0,47,0,47,0,47,0,47,18,53,0,47,0,47,23,58,12,47,0,47,19,56,0,47,11,51,0,47,0,47,0,47
7,Northeast,49,64,0,59,0,59,0,59,0,59,0,59,13,61,0,59,0,59,0,59,0,59,0,59,18,60,0,59,10,60,8,59,0,59
8,North,290,134,10,45,0,43,0,43,57,79,0,43,0,43,0,43,0,43,13,45,0,43,121,100,74,68,15,48,0,43,0,43,0,43
9,Northwest,247,123,0,54,0,54,9,55,0,54,30,70,58,84,0,54,29,59,63,77,0,54,0,54,25,57,14,57,5,53,14,55,0,54
10,Ballard,94,85,0,43,0,43,15,47,0,43,0,43,30,63,0,43,0,43,0,43,14,45,35,68,0,43,0,43,0,43,0,43,0,43
11,Lake Union,87,105,0,42,0,42,17,46,0,42,0,42,58,103,0,42,0,42,0,42,0,42,0,42,12,43,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,59,66,0,51,0,51,0,51,0,51,0,51,0,51,0,51,15,54,0,51,0,51,10,51,9,51,0,51,0,51,0,51,25,63
13,Downtown,25,43,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,25,43,0,29,0,29,0,29,0,29,0,29
