area_id,area_name,b08105d001,b08105d001_moe,b08105d002,b08105d002_moe,b08105d003,b08105d003_moe,b08105d004,b08105d004_moe,b08105d005,b08105d005_moe,b08105d006,b08105d006_moe,b08105d007,b08105d007_moe
1,Southwest,1378,252,889,211,86,59,226,101,29,53,20,56,128,86
2,Delridge Neighborhoods,2772,389,1705,308,526,163,371,182,96,88,14,43,60,51
3,Greater Duwamish,10298,884,5895,660,1750,380,2295,406,94,65,94,76,170,85
4,Southeast,5685,577,3433,421,928,256,948,205,159,101,93,85,124,69
5,Central,1639,282,580,162,204,102,508,150,153,94,95,76,99,82
6,East,2441,381,865,216,53,67,718,226,709,189,41,66,55,62
7,Northeast,5104,565,1865,305,432,141,1314,300,765,218,237,115,491,216
8,North,3352,493,1591,298,678,234,893,290,42,48,22,56,126,83
9,Northwest,3832,456,2163,342,320,139,934,213,80,74,111,74,224,126
10,Ballard,1435,297,786,241,189,121,244,115,5,42,61,56,150,89
11,Lake Union,2905,447,1327,321,124,73,830,242,464,188,47,56,113,81
12,Magnolia/Queen Anne,2798,457,1454,318,201,120,589,208,253,123,76,78,225,110
13,Downtown,1704,288,453,148,76,56,564,162,499,181,15,34,97,80
