area_id,area_name,b16010001,b16010001_moe,b16010002,b16010002_moe,b16010003,b16010003_moe,b16010004,b16010004_moe,b16010005,b16010005_moe,b16010006,b16010006_moe,b16010007,b16010007_moe,b16010008,b16010008_moe,b16010009,b16010009_moe,b16010010,b16010010_moe,b16010011,b16010011_moe,b16010012,b16010012_moe,b16010013,b16010013_moe,b16010014,b16010014_moe,b16010015,b16010015_moe,b16010016,b16010016_moe,b16010017,b16010017_moe,b16010018,b16010018_moe,b16010019,b16010019_moe,b16010020,b16010020_moe,b16010021,b16010021_moe,b16010022,b16010022_moe,b16010023,b16010023_moe,b16010024,b16010024_moe,b16010025,b16010025_moe,b16010026,b16010026_moe,b16010027,b16010027_moe,b16010028,b16010028_moe,b16010029,b16010029_moe,b16010030,b16010030_moe,b16010031,b16010031_moe,b16010032,b16010032_moe,b16010033,b16010033_moe,b16010034,b16010034_moe,b16010035,b16010035_moe,b16010036,b16010036_moe,b16010037,b16010037_moe,b16010038,b16010038_moe,b16010039,b16010039_moe,b16010040,b16010040_moe,b16010041,b16010041_moe,b16010042,b16010042_moe,b16010043,b16010043_moe,b16010044,b16010044_moe,b16010045,b16010045_moe,b16010046,b16010046_moe,b16010047,b16010047_moe,b16010048,b16010048_moe,b16010049,b16010049_moe,b16010050,b16010050_moe,b16010051,b16010051_moe,b16010052,b16010052_moe,b16010053,b16010053_moe
1,Southwest,38547,835,1241,310,424,225,376,216,0,48,0,48,48,77,0,48,817,216,614,188,53,57,88,92,55,53,7,47,5093,521,2791,407,2535,392,75,95,76,60,71,77,34,55,2302,337,2034,297,36,58,206,183,8,43,18,51,10929,689,7923,600,7147,572,283,139,237,119,202,118,54,64,3006,348,2789,339,17,47,122,69,78,55,0,48,21284,875,17206,806,15401,781,439,155,708,237,618,188,40,62,4078,425,3513,394,125,95,275,128,119,79,46,61
2,Delridge Neighborhoods,24752,749,3047,486,1498,353,438,156,719,292,16,43,243,117,82,73,1549,318,820,218,156,114,52,61,413,164,108,75,4478,540,2991,457,1765,328,340,202,95,77,643,220,148,126,1487,272,1193,237,39,55,7,38,216,105,32,62,8034,588,6354,536,4682,495,268,141,220,129,768,187,416,208,1680,284,1322,254,51,63,30,50,210,93,67,63,9193,612,7839,576,6349,540,385,140,153,78,770,193,182,113,1354,232,1085,213,45,46,55,52,161,84,8,38
3,Greater Duwamish,32337,1102,8080,815,4560,626,379,158,733,331,15,45,2776,445,657,269,3520,465,781,208,294,167,0,45,2115,363,330,192,6706,650,4469,544,1412,304,480,220,33,56,2212,360,332,163,2237,377,1018,236,56,64,48,60,935,266,180,120,7834,621,5752,561,2931,392,448,162,59,62,1949,380,365,164,2082,308,1307,247,92,83,96,87,533,168,54,57,9717,759,7933,683,5277,509,281,147,175,97,2024,386,176,105,1784,288,901,196,40,53,111,87,699,193,33,54
4,Southeast,32380,1026,5121,589,2552,416,370,162,449,207,62,82,1215,285,456,219,2569,409,987,238,220,184,79,60,1138,261,145,85,5687,582,3411,464,1264,300,179,132,16,52,1391,274,561,293,2276,324,1613,295,50,54,23,49,511,151,79,75,8659,694,6327,605,4087,503,390,173,156,119,1161,265,533,218,2332,361,1816,314,81,82,63,53,259,148,113,88,12913,721,10443,636,8369,581,425,159,356,142,1101,263,192,94,2470,339,2114,312,77,56,15,47,216,112,48,60
5,Central,22573,759,1477,296,550,200,222,120,182,140,0,34,82,57,64,70,927,198,568,160,4,33,35,42,266,108,54,56,2327,399,1081,263,897,237,77,75,50,67,27,37,30,61,1246,307,1047,302,10,33,0,34,189,88,0,34,5209,523,3723,452,3107,391,188,119,34,47,227,102,167,134,1486,294,1186,261,83,68,88,86,84,62,45,63,13560,710,11128,644,9569,596,377,166,560,158,531,174,91,68,2432,316,2138,297,47,44,61,48,168,84,18,42
6,East,39878,1021,2006,347,817,269,382,178,204,159,79,108,112,87,40,65,1189,214,744,185,48,58,35,52,259,105,103,76,3649,494,1833,379,1306,288,279,189,78,74,84,62,86,104,1816,305,1628,291,17,49,70,65,84,76,17,53,10276,778,7737,748,6633,711,329,163,284,101,331,213,160,127,2539,351,2174,306,133,143,108,98,90,77,34,58,23947,972,19485,911,16793,867,545,158,1180,300,749,227,218,140,4462,440,3310,371,54,56,609,214,475,198,14,50
7,Northeast,45645,937,799,221,331,142,174,107,13,60,63,82,54,79,27,64,468,144,362,133,1,56,16,63,89,76,0,59,3298,444,1929,366,1605,321,72,91,44,58,208,152,0,59,1369,247,946,192,38,63,242,140,122,74,21,61,7771,650,5313,553,4676,524,97,71,113,74,374,166,53,69,2458,380,2085,365,12,59,171,87,190,99,0,59,33777,898,26383,816,22367,787,786,216,1355,277,1760,312,115,86,7394,514,5973,460,252,133,335,120,780,189,54,67
8,North,30108,772,2341,360,968,241,557,181,163,110,46,51,95,61,107,100,1373,282,882,219,74,88,142,92,161,90,114,112,4391,582,2678,470,1712,316,436,269,73,55,261,143,196,154,1713,330,1326,251,223,191,49,61,82,65,33,67,7728,580,5596,532,4281,490,295,142,243,127,476,163,301,138,2132,307,1841,284,9,44,36,50,210,95,36,51,15648,730,12487,688,10165,612,454,166,462,147,1191,252,215,109,3161,328,2361,283,40,50,234,112,505,166,21,48
9,Northwest,53911,1160,2647,429,1104,290,581,207,374,200,40,61,88,73,21,64,1543,288,908,233,157,114,137,88,327,121,14,55,6572,628,3660,509,2816,430,215,212,235,129,275,143,119,100,2912,355,2517,335,112,92,148,112,132,79,3,52,14314,878,10113,756,8840,729,253,124,232,101,385,135,403,222,4201,441,3433,407,93,70,238,128,363,135,74,78,30378,1057,25398,1000,21688,903,818,239,1165,292,1502,311,225,127,4980,439,4087,400,101,74,306,142,438,163,48,65
10,Ballard,34547,752,1284,292,680,247,377,163,189,171,40,67,74,70,0,43,604,154,421,131,14,46,127,80,20,47,22,53,3849,543,2374,487,1945,427,166,155,149,106,114,165,0,43,1475,246,1339,242,0,43,55,53,81,63,0,43,8621,719,6577,673,5987,628,255,148,81,69,179,125,75,86,2044,288,1735,277,58,68,138,84,96,66,17,49,20793,822,17665,800,15573,750,484,177,979,379,588,167,41,59,3128,341,2856,333,42,52,119,67,96,76,15,48
