area_id,area_name,b11002f001,b11002f001_moe,b11002f002,b11002f002_moe,b11002f003,b11002f003_moe,b11002f004,b11002f004_moe,b11002f005,b11002f005_moe,b11002f006,b11002f006_moe,b11002f007,b11002f007_moe,b11002f008,b11002f008_moe,b11002f009,b11002f009_moe,b11002f010,b11002f010_moe,b11002f011,b11002f011_moe,b11002f012,b11002f012_moe
1,Southwest,208,191,208,191,130,140,130,140,0,48,0,48,0,48,0,48,78,138,78,138,0,48,0,48
2,Delridge Neighborhoods,930,444,852,439,365,307,365,307,0,38,385,286,320,241,65,78,102,122,102,122,0,38,78,76
3,Greater Duwamish,778,443,585,384,122,167,122,167,0,45,333,335,310,292,23,64,130,137,117,126,13,47,193,225
4,Southeast,807,623,711,618,508,576,458,504,50,85,0,45,0,45,0,45,203,226,203,226,0,45,96,85
5,Central,237,148,175,137,134,120,134,120,0,34,0,34,0,34,0,34,41,74,25,53,16,41,62,66
6,East,513,214,268,181,163,163,143,148,20,55,105,117,105,117,0,47,0,47,0,47,0,47,245,124
7,Northeast,556,309,173,139,148,134,148,134,0,59,0,59,0,59,0,59,25,70,25,70,0,59,383,282
8,North,1120,483,1033,480,550,327,550,327,0,43,366,365,302,302,64,75,117,140,117,140,0,43,87,80
9,Northwest,1212,452,828,410,517,311,517,311,0,54,0,54,0,54,0,54,311,271,262,221,49,76,384,200
10,Ballard,272,188,210,183,95,120,95,120,0,43,85,137,59,101,26,57,30,63,30,63,0,43,62,59
11,Lake Union,457,259,205,215,95,122,95,122,0,42,110,181,110,181,0,42,0,42,0,42,0,42,252,154
12,Magnolia/Queen Anne,316,178,148,141,114,130,114,130,0,51,0,51,0,51,0,51,34,76,24,64,10,51,168,131
13,Downtown,212,132,50,73,50,73,50,73,0,29,0,29,0,29,0,29,0,29,0,29,0,29,162,113
