area_id,area_name,b16009001,b16009001_moe,b16009002,b16009002_moe,b16009003,b16009003_moe,b16009004,b16009004_moe,b16009005,b16009005_moe,b16009006,b16009006_moe,b16009007,b16009007_moe,b16009008,b16009008_moe,b16009009,b16009009_moe,b16009010,b16009010_moe,b16009011,b16009011_moe,b16009012,b16009012_moe,b16009013,b16009013_moe,b16009014,b16009014_moe,b16009015,b16009015_moe,b16009016,b16009016_moe,b16009017,b16009017_moe,b16009018,b16009018_moe,b16009019,b16009019_moe,b16009020,b16009020_moe,b16009021,b16009021_moe,b16009022,b16009022_moe,b16009023,b16009023_moe,b16009024,b16009024_moe,b16009025,b16009025_moe,b16009026,b16009026_moe,b16009027,b16009027_moe
1,Southwest,45663,986,2913,486,331,148,211,117,13,50,51,82,18,53,38,60,2582,427,2090,378,131,80,226,143,54,60,81,95,42750,1020,5692,465,5143,472,152,112,213,122,169,122,15,50,37058,848,33228,902,979,289,1530,349,1215,267,106,78
2,Delridge Neighborhoods,31819,965,4973,721,1155,323,380,205,351,231,0,38,171,125,253,198,3818,535,2251,399,494,204,35,46,672,265,366,173,26846,1011,3375,429,2381,359,298,144,70,74,461,171,165,172,23471,846,16942,805,1855,528,623,254,3174,497,877,347
3,Greater Duwamish,43298,1587,7500,1137,2047,668,663,271,141,143,0,45,236,143,1007,552,5453,691,2387,420,531,229,15,45,1680,409,840,353,35798,1509,5055,568,1712,333,617,261,14,49,2079,411,633,276,30743,1210,13310,791,2160,584,559,198,13068,1031,1646,468
4,Southeast,42343,1392,6608,1011,1454,457,728,298,120,144,0,45,435,208,171,204,5154,724,2606,464,476,299,47,51,1366,391,659,309,35735,1491,5463,685,3514,554,508,222,135,88,913,359,393,227,30272,1175,19407,971,1689,490,728,243,6474,703,1974,499
5,Central,27468,933,3615,609,330,230,144,105,0,34,0,34,43,63,143,200,3285,506,2326,417,68,79,73,57,618,248,200,141,23853,909,2369,347,2034,347,163,96,35,40,62,43,75,80,21484,792,18203,795,930,295,825,217,1164,260,362,200
6,East,46401,1077,6988,673,150,77,50,64,0,47,0,47,68,65,32,53,6838,659,4935,551,341,163,299,158,989,291,274,166,39413,1054,2199,331,1999,319,42,86,101,76,41,64,16,51,37214,964,31449,970,1345,379,2360,432,1614,392,446,213
7,Northeast,66710,1659,11690,1152,389,153,275,140,21,60,33,67,28,71,32,66,11301,1131,8213,1058,537,269,547,185,1861,428,143,148,55020,1155,7352,429,6579,423,165,111,161,96,447,178,0,59,47668,1021,40364,1045,1073,245,2356,402,3558,542,317,146
8,North,37709,1007,4970,635,593,209,212,120,167,124,81,110,74,62,59,80,4377,527,2546,383,483,255,344,195,760,246,244,143,32739,1059,3367,376,2756,342,163,98,128,87,243,116,77,89,29372,893,22938,831,1442,389,972,230,3073,523,947,349
9,Northwest,65347,1344,6851,861,414,172,223,123,96,108,61,84,26,58,8,55,6437,811,4354,699,350,187,556,211,1009,339,168,112,58496,1306,6097,530,4983,481,226,133,341,142,346,129,201,201,52399,1117,44292,1105,2032,447,2079,386,3188,457,808,312
10,Ballard,41627,976,2902,496,289,153,220,137,0,43,0,43,69,76,0,43,2613,431,2124,373,126,88,138,118,193,158,32,53,38725,981,4128,415,3846,393,139,143,52,55,51,56,40,76,34597,869,30499,849,1170,330,1661,454,1129,308,138,101
11,Lake Union,42464,1289,7220,855,146,124,132,122,0,42,14,46,0,42,0,42,7074,839,5564,784,271,145,345,168,816,235,78,96,35244,1077,2062,250,1788,251,82,69,81,71,65,67,46,73,33182,1042,29019,1022,898,227,1524,314,1546,316,195,134
12,Magnolia/Queen Anne,54468,1285,4234,738,140,117,84,79,0,51,56,100,0,51,0,51,4094,711,3409,628,251,193,159,90,178,113,97,126,50234,1160,5039,474,4480,474,127,83,304,152,94,93,34,59,45195,955,39735,988,1128,317,2257,360,1746,389,329,201
13,Downtown,16524,811,4478,662,312,235,27,50,0,29,0,29,110,145,175,211,4166,565,2405,391,206,115,186,97,1169,314,200,173,12046,636,164,80,62,49,0,29,21,41,69,53,12,52,11882,621,9314,562,187,117,813,227,1395,256,173,154
