area_id,area_name,b19113d001,b19113d001_moe
1,Southwest,209744,246599
2,Delridge Neighborhoods,505003,122895
3,Greater Duwamish,708071,54968
4,Southeast,477136,116233
5,Central,501230,66455
6,East,643444,363929
7,Northeast,1383335,244839
8,North,691417,331377
9,Northwest,1303328,385887
10,Ballard,634334,193253
11,Lake Union,820678,427010
12,Magnolia/Queen Anne,871954,185826
13,Downtown,478822,319191
