area_id,area_name,c15002a001,c15002a001_moe,c15002a002,c15002a002_moe,c15002a003,c15002a003_moe,c15002a004,c15002a004_moe,c15002a005,c15002a005_moe,c15002a006,c15002a006_moe,c15002a007,c15002a007_moe,c15002a008,c15002a008_moe,c15002a009,c15002a009_moe,c15002a010,c15002a010_moe,c15002a011,c15002a011_moe
1,Southwest,34444,850,16259,610,530,185,2188,323,4487,412,9054,581,18185,589,423,146,2550,329,5099,477,10113,533
2,Delridge Neighborhoods,16398,754,8338,528,795,211,1586,323,2705,347,3252,311,8060,473,705,234,1288,233,2405,334,3662,364
3,Greater Duwamish,10769,780,5993,592,804,325,897,249,1702,264,2590,324,4776,421,419,173,618,171,1233,216,2506,317
4,Southeast,14574,835,6984,549,633,265,610,187,1534,284,4207,356,7590,486,348,130,760,189,1747,275,4735,374
5,Central,14196,661,6923,461,214,106,425,168,1185,222,5099,363,7273,457,208,102,537,182,1392,276,5136,373
6,East,31510,1059,16894,840,607,227,1443,319,4212,588,10632,657,14616,753,358,127,885,217,3643,488,9730,662
7,Northeast,37636,916,18501,686,253,113,1240,270,3251,437,13757,602,19135,625,204,96,1298,235,3199,414,14434,526
8,North,22322,701,10788,489,498,135,1393,266,2883,360,6014,393,11534,478,838,228,1770,319,2724,307,6202,397
9,Northwest,43337,1117,21270,766,949,242,2332,343,5418,484,12571,628,22067,740,674,208,2865,367,5796,505,12732,604
10,Ballard,30805,734,15514,550,558,175,1572,381,3859,453,9525,516,15291,547,527,170,1746,298,3679,415,9339,522
11,Lake Union,27642,939,14717,679,309,126,980,225,3541,448,9887,597,12925,639,189,108,783,195,2564,365,9389,574
12,Magnolia/Queen Anne,37864,926,18536,635,291,113,1438,299,3659,413,13148,608,19328,661,186,88,1135,223,4486,437,13521,616
13,Downtown,9245,602,5639,479,427,165,455,158,1358,251,3399,398,3606,372,77,51,333,145,702,189,2494,307
