area_id,area_name,b25014f001,b25014f001_moe,b25014f002,b25014f002_moe,b25014f003,b25014f003_moe
1,Southwest,45,54,30,51,15,51
2,Delridge Neighborhoods,328,143,260,122,68,81
3,Greater Duwamish,230,115,153,86,77,88
4,Southeast,236,123,187,101,49,83
5,Central,109,66,109,66,0,34
6,East,258,104,258,104,0,47
7,Northeast,306,164,306,164,0,59
8,North,377,151,299,140,78,73
9,Northwest,562,193,494,184,68,78
10,Ballard,156,95,156,95,0,43
11,Lake Union,271,153,196,120,75,105
12,Magnolia/Queen Anne,186,104,186,104,0,51
13,Downtown,178,115,178,115,0,29
