area_id,area_name,b11001c001,b11001c001_moe,b11001c002,b11001c002_moe,b11001c003,b11001c003_moe,b11001c004,b11001c004_moe,b11001c005,b11001c005_moe,b11001c006,b11001c006_moe,b11001c007,b11001c007_moe,b11001c008,b11001c008_moe,b11001c009,b11001c009_moe
1,Southwest,103,70,72,63,44,58,28,52,0,48,28,52,31,55,14,51,17,52
2,Delridge Neighborhoods,139,89,51,55,33,48,18,46,0,38,18,46,88,78,88,78,0,38
3,Greater Duwamish,122,68,81,61,69,59,12,49,0,45,12,49,41,51,34,51,7,45
4,Southeast,107,72,27,50,12,47,15,48,15,48,0,45,80,65,66,60,14,49
5,Central,94,66,23,37,10,35,13,36,0,34,13,36,71,65,56,60,15,40
6,East,449,166,151,86,38,59,113,77,49,60,64,64,298,148,256,135,42,77
7,Northeast,114,77,69,70,58,69,11,60,0,59,11,60,45,63,18,60,27,62
8,North,177,91,89,75,46,53,43,64,0,43,43,64,88,61,64,56,24,47
9,Northwest,249,108,121,81,50,62,71,74,5,53,66,73,128,87,97,81,31,61
10,Ballard,65,59,34,53,0,43,34,53,20,50,14,46,31,50,17,44,14,48
11,Lake Union,358,165,33,52,19,49,14,45,0,42,14,45,325,162,266,147,59,85
12,Magnolia/Queen Anne,205,116,81,73,45,63,36,62,23,60,13,53,124,96,74,84,50,64
13,Downtown,140,99,0,29,0,29,0,29,0,29,0,29,140,99,115,91,25,48
