area_id,area_name,c27016001,c27016001_moe,c27016002,c27016002_moe,c27016003,c27016003_moe,c27016004,c27016004_moe,c27016005,c27016005_moe,c27016006,c27016006_moe,c27016007,c27016007_moe,c27016008,c27016008_moe,c27016009,c27016009_moe,c27016010,c27016010_moe,c27016011,c27016011_moe,c27016012,c27016012_moe,c27016013,c27016013_moe,c27016014,c27016014_moe,c27016015,c27016015_moe,c27016016,c27016016_moe,c27016017,c27016017_moe,c27016018,c27016018_moe,c27016019,c27016019_moe,c27016020,c27016020_moe,c27016021,c27016021_moe,c27016022,c27016022_moe,c27016023,c27016023_moe,c27016024,c27016024_moe,c27016025,c27016025_moe,c27016026,c27016026_moe,c27016027,c27016027_moe,c27016028,c27016028_moe,c27016029,c27016029_moe,c27016030,c27016030_moe,c27016031,c27016031_moe,c27016032,c27016032_moe,c27016033,c27016033_moe,c27016034,c27016034_moe,c27016035,c27016035_moe,c27016036,c27016036_moe,c27016037,c27016037_moe,c27016038,c27016038_moe,c27016039,c27016039_moe,c27016040,c27016040_moe,c27016041,c27016041_moe
1,Southwest,48488,1053,4641,629,610,227,572,225,38,60,3344,486,2161,354,1183,308,687,175,685,175,2,47,2527,503,314,155,243,132,71,79,1509,357,1072,310,437,183,704,204,704,204,0,48,10775,926,1997,391,1914,386,83,93,6806,639,5883,590,923,246,1972,297,1972,297,0,48,30545,1143,6066,491,5863,492,203,172,21424,826,20622,836,802,260,3055,352,3055,352,0,48
2,Delridge Neighborhoods,34181,1044,7690,997,2284,530,2096,525,188,136,4644,622,2816,485,1828,353,762,193,762,193,0,38,2844,616,729,287,672,282,57,67,1716,410,1116,282,600,236,399,136,385,132,14,42,9678,1048,1922,412,1799,399,123,80,6730,754,5212,604,1518,435,1026,233,1000,230,26,54,13969,902,2007,300,1904,298,103,95,10996,722,10409,687,587,184,966,206,966,206,0,38
3,Greater Duwamish,46795,1779,12533,1544,4288,1027,3784,990,504,281,6586,760,4192,561,2394,436,1659,288,1659,288,0,45,4911,903,1295,404,1149,371,146,161,2865,541,1807,396,1058,323,751,204,751,204,0,45,17561,1691,3293,599,3065,543,228,156,12179,1191,8916,932,3263,649,2089,320,2039,315,50,63,11790,1174,1755,427,1744,426,11,48,9048,851,8259,802,789,230,987,218,987,218,0,45
4,Southeast,45310,1463,11626,1462,3435,698,2917,635,518,299,6858,896,3992,613,2866,619,1333,288,1315,283,18,56,4032,846,1121,423,1042,415,79,122,2175,456,1561,392,614,216,736,209,736,209,0,45,12182,1466,2801,578,2706,571,95,86,8024,988,6762,844,1262,403,1357,268,1345,266,12,47,17470,1134,2562,357,2557,358,5,45,13025,906,11837,801,1188,379,1883,258,1883,258,0,45
5,Central,29165,1006,5716,753,882,340,779,321,103,122,3694,522,2736,427,958,285,1140,211,1140,211,0,34,2693,688,405,247,371,240,34,67,1819,505,1208,366,611,257,469,164,469,164,0,34,6885,826,965,275,954,273,11,38,5263,640,4279,549,984,281,657,191,640,189,17,42,13871,843,2175,326,2175,326,0,34,10653,642,10209,629,444,200,1043,198,1043,198,0,34
6,East,47848,1137,10418,928,844,320,795,320,49,64,8488,760,6134,616,2354,442,1086,231,1086,231,0,47,4374,691,340,212,331,212,9,47,3566,533,2248,390,1318,334,468,132,454,130,14,50,11222,924,474,175,474,175,0,47,9697,850,7932,715,1765,418,1051,226,1042,226,9,47,21834,1083,2180,285,2176,285,4,45,17069,947,16459,927,610,219,2585,313,2527,298,58,105
7,Northeast,70231,1669,14656,1313,841,237,824,226,17,64,12939,1249,10914,1188,2025,454,876,302,876,302,0,59,4550,656,423,197,423,197,0,59,3626,552,2704,466,922,254,501,137,501,137,0,59,12119,936,1569,294,1543,292,26,70,9011,751,7968,707,1043,261,1539,247,1512,244,27,63,38906,1195,8449,494,8354,491,95,99,25964,877,25269,875,695,209,4493,309,4480,309,13,61
8,North,39726,1067,7370,809,1128,313,1032,300,96,97,5133,601,3261,495,1872,367,1109,244,1034,235,75,92,3609,670,485,219,485,219,0,43,2535,477,1664,368,871,296,589,154,589,154,0,43,11077,1038,1768,346,1617,333,151,106,7917,793,6403,645,1514,409,1392,250,1371,248,21,52,17670,980,2653,318,2647,318,6,45,13179,743,12478,719,701,231,1838,311,1838,311,0,43
9,Northwest,69171,1458,9886,1040,1111,347,896,310,215,162,7158,853,4506,595,2652,499,1617,281,1557,280,60,69,5458,889,918,424,848,423,70,73,3399,540,2405,434,994,275,1141,238,1141,238,0,54,19031,1333,2822,469,2634,434,188,131,13948,975,11268,869,2680,504,2261,284,2261,284,0,54,34796,1370,5555,455,5455,461,100,89,26284,1061,25231,1050,1053,253,2957,379,2947,378,10,55
10,Ballard,44246,1008,4753,666,682,261,407,160,275,210,3377,481,2199,367,1178,286,694,199,663,193,31,63,2090,442,179,131,163,127,16,49,1530,368,1035,277,495,217,381,140,381,140,0,43,10912,965,1662,359,1624,357,38,53,8137,715,6925,689,1212,274,1113,211,1104,211,9,44,26491,1104,4594,430,4512,426,82,80,19611,864,18894,833,717,241,2286,280,2269,279,17,48
