area_id,area_name,c23002h001,c23002h001_moe,c23002h002,c23002h002_moe,c23002h003,c23002h003_moe,c23002h004,c23002h004_moe,c23002h005,c23002h005_moe,c23002h006,c23002h006_moe,c23002h007,c23002h007_moe,c23002h008,c23002h008_moe,c23002h009,c23002h009_moe,c23002h010,c23002h010_moe,c23002h011,c23002h011_moe,c23002h012,c23002h012_moe,c23002h013,c23002h013_moe,c23002h014,c23002h014_moe,c23002h015,c23002h015_moe,c23002h016,c23002h016_moe,c23002h017,c23002h017_moe,c23002h018,c23002h018_moe,c23002h019,c23002h019_moe,c23002h020,c23002h020_moe,c23002h021,c23002h021_moe,c23002h022,c23002h022_moe,c23002h023,c23002h023_moe,c23002h024,c23002h024_moe,c23002h025,c23002h025_moe,c23002h026,c23002h026_moe,c23002h027,c23002h027_moe
1,Southwest,35372,876,16667,621,14017,594,12228,555,62,63,12166,554,11433,540,733,196,1789,283,2650,274,600,162,587,161,13,49,2050,252,18705,627,14841,561,11909,553,0,48,11909,553,11507,551,402,140,2932,347,3864,324,675,188,660,186,15,50,3189,322
2,Delridge Neighborhoods,15844,782,7925,541,7097,521,5871,436,10,39,5861,436,5412,439,449,149,1226,260,828,175,205,100,186,95,19,45,623,149,7919,490,6702,446,5348,403,0,38,5348,403,5093,398,255,103,1354,245,1217,191,226,90,226,90,0,38,991,184
3,Greater Duwamish,9815,659,5467,471,5062,459,4341,421,54,62,4287,419,3899,389,388,143,721,177,405,131,54,55,54,55,0,45,351,124,4348,383,3681,356,2975,318,5,44,2970,318,2887,316,83,62,706,193,667,169,112,72,95,67,17,52,555,150
4,Southeast,13852,760,6320,451,5387,430,4533,393,5,44,4528,393,4134,353,394,161,854,228,933,188,180,75,174,74,6,44,753,179,7532,499,6358,447,5120,408,0,45,5120,408,4838,396,282,123,1238,236,1174,226,118,67,109,65,9,45,1056,219
5,Central,14891,688,7126,451,6328,440,5772,427,14,34,5758,428,5584,419,174,100,556,164,798,156,206,85,206,85,0,34,592,143,7765,494,6914,469,5544,453,0,34,5544,453,5323,450,221,92,1370,272,851,196,170,103,170,103,0,34,681,171
6,East,34960,1151,17960,873,16225,858,14113,802,0,47,14113,802,13433,780,680,203,2112,336,1735,227,550,125,505,121,45,59,1185,205,17000,818,14423,786,11910,722,0,47,11910,722,11310,706,600,231,2513,362,2577,277,458,159,430,155,28,53,2119,249
7,Northeast,51951,1581,25509,1158,22775,1143,17668,861,0,59,17668,861,16604,836,1064,241,5107,650,2734,236,923,159,894,158,29,60,1811,215,26442,991,22672,951,16928,867,0,59,16928,867,15982,786,946,247,5744,484,3770,336,661,134,617,132,44,65,3109,334
8,North,23509,777,11637,550,10106,531,8500,487,18,44,8482,489,7821,463,661,182,1606,269,1531,222,212,83,212,83,0,43,1319,217,11872,506,9380,477,7570,476,0,43,7570,476,7205,481,365,131,1810,285,2492,248,310,99,291,97,19,45,2182,245
9,Northwest,45779,1160,22341,831,19528,776,17339,725,0,54,17339,725,16071,687,1268,326,2189,356,2813,308,500,144,420,135,80,72,2313,273,23438,779,19083,720,15786,686,30,58,15756,686,14918,665,838,216,3297,375,4355,367,473,139,408,111,65,92,3882,356
10,Ballard,32758,839,16467,617,14713,593,13160,584,63,79,13097,578,12303,553,794,205,1553,283,1754,217,441,154,400,150,41,52,1313,176,16291,621,13862,573,11552,599,0,43,11552,599,10933,595,619,181,2310,298,2429,230,430,138,407,137,23,46,1999,226
11,Lake Union,31235,1146,16467,834,15128,813,13265,691,67,81,13198,687,12403,683,795,242,1863,369,1339,225,354,123,339,121,15,46,985,199,14768,834,13556,814,11631,777,0,42,11631,777,11088,752,543,208,1925,325,1212,180,134,66,126,66,8,42,1078,174
12,Magnolia/Queen Anne,42524,1177,20565,927,17975,916,15995,885,251,114,15744,879,14852,881,892,217,1980,313,2590,263,776,177,705,164,71,80,1814,242,21959,901,18533,890,14989,864,0,51,14989,864,14279,855,710,169,3544,383,3426,279,596,150,566,146,30,57,2830,273
13,Downtown,10004,615,6017,493,5301,475,3964,414,60,69,3904,413,3637,397,267,124,1337,274,716,167,222,91,222,91,0,29,494,155,3987,405,3333,380,2783,361,0,29,2783,361,2686,355,97,68,550,143,654,169,130,96,130,96,0,29,524,155
