area_id,area_name,c15002c001,c15002c001_moe,c15002c002,c15002c002_moe,c15002c003,c15002c003_moe,c15002c004,c15002c004_moe,c15002c005,c15002c005_moe,c15002c006,c15002c006_moe,c15002c007,c15002c007_moe,c15002c008,c15002c008_moe,c15002c009,c15002c009_moe,c15002c010,c15002c010_moe,c15002c011,c15002c011_moe
1,Southwest,247,127,135,97,14,50,10,44,92,89,19,55,112,85,0,48,15,51,55,66,42,56
2,Delridge Neighborhoods,139,89,48,55,0,38,9,37,39,56,0,38,91,77,0,38,42,60,49,60,0,38
3,Greater Duwamish,286,140,117,72,0,45,54,58,53,61,10,47,169,106,14,49,68,80,39,47,48,69
4,Southeast,199,132,134,123,33,67,56,60,30,51,15,48,65,59,36,51,12,46,17,50,0,45
5,Central,83,66,46,51,1,32,11,34,19,44,15,40,37,52,0,34,0,34,28,51,9,36
6,East,572,203,344,136,40,55,131,100,169,98,4,44,228,126,0,47,23,58,120,99,85,83
7,Northeast,230,123,157,106,46,90,23,70,52,69,36,60,73,75,19,71,0,59,23,61,31,62
8,North,218,110,70,53,0,43,27,43,37,51,6,43,148,86,22,47,15,46,82,63,29,62
9,Northwest,491,187,191,102,51,79,76,70,59,66,5,51,300,141,17,58,97,94,80,78,106,80
10,Ballard,122,81,63,61,11,45,37,53,15,49,0,43,59,69,14,47,17,48,28,50,0,43
11,Lake Union,433,174,312,156,10,43,77,91,169,118,56,80,121,73,0,42,52,59,25,48,44,53
12,Magnolia/Queen Anne,308,140,120,76,0,51,22,55,21,52,77,73,188,112,0,51,1,50,140,97,47,65
13,Downtown,166,107,137,101,15,30,6,30,91,88,25,48,29,42,13,40,2,27,14,35,0,29
