area_id,area_name,b27001001,b27001001_moe,b27001002,b27001002_moe,b27001003,b27001003_moe,b27001004,b27001004_moe,b27001005,b27001005_moe,b27001006,b27001006_moe,b27001007,b27001007_moe,b27001008,b27001008_moe,b27001009,b27001009_moe,b27001010,b27001010_moe,b27001011,b27001011_moe,b27001012,b27001012_moe,b27001013,b27001013_moe,b27001014,b27001014_moe,b27001015,b27001015_moe,b27001016,b27001016_moe,b27001017,b27001017_moe,b27001018,b27001018_moe,b27001019,b27001019_moe,b27001020,b27001020_moe,b27001021,b27001021_moe,b27001022,b27001022_moe,b27001023,b27001023_moe,b27001024,b27001024_moe,b27001025,b27001025_moe,b27001026,b27001026_moe,b27001027,b27001027_moe,b27001028,b27001028_moe,b27001029,b27001029_moe,b27001030,b27001030_moe,b27001031,b27001031_moe,b27001032,b27001032_moe,b27001033,b27001033_moe,b27001034,b27001034_moe,b27001035,b27001035_moe,b27001036,b27001036_moe,b27001037,b27001037_moe,b27001038,b27001038_moe,b27001039,b27001039_moe,b27001040,b27001040_moe,b27001041,b27001041_moe,b27001042,b27001042_moe,b27001043,b27001043_moe,b27001044,b27001044_moe,b27001045,b27001045_moe,b27001046,b27001046_moe,b27001047,b27001047_moe,b27001048,b27001048_moe,b27001049,b27001049_moe,b27001050,b27001050_moe,b27001051,b27001051_moe,b27001052,b27001052_moe,b27001053,b27001053_moe,b27001054,b27001054_moe,b27001055,b27001055_moe,b27001056,b27001056_moe,b27001057,b27001057_moe
1,Southwest,48549,1060,22534,749,1711,287,1661,284,50,60,2462,352,2317,339,145,100,633,158,501,144,132,69,3674,454,2886,408,788,232,4025,351,3567,356,458,158,4274,357,3897,342,377,146,3106,300,2878,282,228,111,1562,229,1562,229,0,48,1087,189,1087,189,0,48,26015,813,1868,348,1797,344,71,90,3007,348,2878,345,129,97,1077,274,965,252,112,109,4138,433,3370,389,768,233,4321,342,4124,338,197,98,3915,337,3789,335,126,79,3920,357,3761,353,159,79,1909,246,1907,246,2,47,1860,228,1860,228,0,48
2,Delridge Neighborhoods,34224,1046,17099,744,1481,303,1442,290,39,69,2341,306,2178,308,163,95,1489,343,989,284,500,199,3354,417,2609,371,745,210,3076,353,2533,305,543,174,2373,302,1864,245,509,171,1670,246,1459,237,211,96,878,162,878,162,0,38,437,127,437,127,0,38,17125,738,1286,253,1195,238,91,84,1877,324,1699,323,178,101,1094,261,708,197,386,173,3561,425,2872,373,689,218,3134,358,2742,347,392,152,2434,263,2136,263,298,124,1901,296,1641,258,260,109,1146,196,1106,191,40,56,692,148,692,148,0,38
3,Greater Duwamish,46942,1787,23664,1220,2126,422,2063,407,63,80,2991,426,2554,378,437,241,2222,364,1168,264,1054,252,3945,518,2646,389,1299,358,3760,475,2861,373,899,281,3618,435,2865,350,753,250,2746,419,1972,309,774,279,1254,242,1245,241,9,45,1002,177,1002,177,0,45,23278,1093,2013,382,1862,364,151,114,3648,581,3410,558,238,125,1801,308,1347,262,454,173,3994,405,2914,355,1080,246,3317,410,2632,340,685,225,2848,307,2594,296,254,119,2427,301,2175,296,252,94,1355,228,1314,224,41,63,1875,256,1875,256,0,45
4,Southeast,45465,1460,22041,1076,1956,340,1840,322,116,120,3427,549,3113,513,314,167,1497,350,914,221,583,262,2595,440,1707,326,888,314,4070,451,2770,355,1300,367,3381,403,2853,388,528,174,2815,316,2463,290,352,172,1375,224,1363,223,12,47,925,166,925,166,0,45,23424,885,1557,299,1480,281,77,112,3134,397,2915,396,219,147,2019,357,1516,312,503,189,3025,422,2494,379,531,185,3820,391,3372,358,448,183,3545,379,3077,355,468,159,3315,333,2986,318,329,136,1728,250,1728,250,0,45,1281,217,1263,217,18,56
5,Central,29258,999,13968,737,1001,224,1001,224,0,34,1066,258,1047,257,19,46,1180,327,968,299,212,92,2873,452,2107,359,766,266,2658,315,2322,270,336,173,2251,292,1805,228,446,197,1573,250,1450,238,123,78,911,170,911,170,0,34,455,129,455,129,0,34,15290,746,1027,224,966,205,61,100,1413,255,1277,231,136,128,1426,298,1087,233,339,167,3396,381,3042,374,354,129,2486,318,2284,285,202,143,1701,230,1576,217,125,85,1898,285,1804,266,94,96,1026,211,1026,211,0,34,917,167,900,166,17,42
6,East,49404,1211,25214,953,833,205,821,205,12,48,1158,229,1121,224,37,52,2999,455,2426,391,573,199,8020,737,6372,624,1648,399,4485,519,3821,456,664,288,3217,379,2640,338,577,186,2326,309,2203,302,123,81,1247,227,1198,216,49,71,929,161,929,161,0,47,24190,909,936,266,923,266,13,49,967,200,967,200,0,47,4158,469,3500,425,658,207,7448,634,6375,597,1073,250,3156,396,2700,357,456,191,2288,310,2053,283,235,142,2223,318,2116,308,107,74,1596,248,1564,242,32,66,1418,211,1418,211,0,47
7,Northeast,79116,1823,38417,1330,2125,283,2117,282,8,59,3483,325,3440,323,43,76,10545,1157,9436,1083,1109,301,6225,573,5374,555,851,220,4827,357,4376,341,451,167,4150,345,3743,329,407,153,3882,302,3653,294,229,94,1905,207,1891,207,14,61,1275,192,1275,192,0,59,40699,1229,2144,269,2142,269,2,56,3691,342,3604,335,87,95,11553,1032,10538,1002,1015,289,5879,518,5345,493,534,173,4600,334,4453,331,147,105,4541,345,4255,329,286,117,4061,314,3901,310,160,89,2113,231,2113,231,0,59,2117,322,2091,320,26,63
8,North,39862,1083,19904,821,1134,212,1128,211,6,43,1987,286,1818,286,169,141,1895,388,1410,349,485,189,4617,547,3471,440,1146,366,2977,342,2496,295,481,174,2775,306,2323,259,452,154,2562,258,2208,228,354,127,976,200,899,187,77,92,981,186,962,184,19,52,19958,765,1440,254,1375,247,65,77,1603,266,1526,258,77,95,1829,337,1374,292,455,183,3677,381,3003,343,674,214,3126,320,2776,298,350,152,2485,302,2122,273,363,138,2827,260,2623,252,204,79,1179,194,1179,194,0,43,1792,245,1792,245,0,43
9,Northwest,69266,1459,33570,1026,2402,343,2324,325,78,123,3072,402,2949,389,123,111,2639,434,2091,406,548,157,7879,640,6197,583,1682,341,5780,419,5239,402,541,160,4783,399,4048,361,735,214,3862,379,3595,380,267,104,1598,233,1593,232,5,52,1555,236,1548,235,7,52,35696,976,2208,372,2061,365,147,114,2819,342,2594,333,225,117,2912,492,2370,457,542,185,8146,662,6714,587,1432,341,5858,428,5226,402,632,196,4456,407,3854,363,602,202,4474,349,4076,338,398,137,1977,298,1931,292,46,65,2846,294,2834,293,12,56
10,Ballard,44326,1011,21960,755,1628,240,1616,240,12,45,2187,321,2044,284,143,148,1294,265,1046,227,248,116,5113,537,4150,493,963,243,3867,345,3448,321,419,171,3076,302,2860,289,216,118,2877,308,2633,308,244,98,1117,204,1102,205,15,46,801,142,801,142,0,43,22366,725,1494,252,1458,247,36,52,1874,292,1654,261,220,151,1382,372,1103,297,279,172,4953,452,4386,420,567,181,3645,311,3381,294,264,133,3386,344,3188,334,198,104,3076,273,2872,263,204,114,1271,189,1229,184,42,52,1285,205,1285,205,0,43
11,Lake Union,44115,1324,23170,1005,1228,237,1228,237,0,42,778,168,778,168,0,42,3508,719,2744,607,764,312,7460,616,6053,541,1407,373,4318,425,3766,381,552,178,2478,301,2225,288,253,114,1907,276,1706,257,201,109,1046,186,1027,184,19,50,447,148,447,148,0,42,20945,981,706,179,672,170,34,71,1125,224,1105,222,20,50,3359,571,2876,469,483,273,6882,564,6113,537,769,218,3408,345,3005,334,403,139,1934,258,1751,255,183,99,2029,252,1800,230,229,102,668,144,647,140,21,48,834,172,834,172,0,42
12,Magnolia/Queen Anne,59068,1388,28556,1098,2067,360,2019,356,48,88,2128,298,2079,298,49,57,2912,653,2482,594,430,176,6539,614,5611,561,928,242,4989,449,4696,420,293,152,3837,350,3515,335,322,127,3344,358,3125,343,219,101,1533,241,1533,241,0,51,1207,202,1207,202,0,51,30512,1094,1595,284,1587,284,8,51,2349,354,2258,345,91,92,3786,768,3475,704,311,151,6943,591,6015,544,928,256,4837,418,4635,407,202,116,3598,329,3464,323,134,88,3625,323,3484,316,141,79,1855,247,1851,246,4,49,1924,244,1924,244,0,51
13,Downtown,17106,915,10019,686,402,170,395,170,7,31,183,155,183,155,0,29,834,304,624,268,210,148,2252,385,1892,371,360,146,1659,285,1440,267,219,120,1701,287,1520,274,181,110,1671,278,1450,264,221,101,755,183,746,183,9,30,562,160,562,160,0,29,7087,540,173,121,173,121,0,29,270,138,225,128,45,54,718,207,613,199,105,62,1593,283,1291,247,302,152,1221,231,986,190,235,123,1029,208,924,201,105,67,864,190,719,166,145,86,729,186,729,186,0,29,490,121,490,121,0,29
