area_id,area_name,b08006001,b08006001_moe,b08006002,b08006002_moe,b08006003,b08006003_moe,b08006004,b08006004_moe,b08006005,b08006005_moe,b08006006,b08006006_moe,b08006007,b08006007_moe,b08006008,b08006008_moe,b08006009,b08006009_moe,b08006010,b08006010_moe,b08006011,b08006011_moe,b08006012,b08006012_moe,b08006013,b08006013_moe,b08006014,b08006014_moe,b08006015,b08006015_moe,b08006016,b08006016_moe,b08006017,b08006017_moe,b08006018,b08006018_moe,b08006019,b08006019_moe,b08006020,b08006020_moe,b08006021,b08006021_moe,b08006022,b08006022_moe,b08006023,b08006023_moe,b08006024,b08006024_moe,b08006025,b08006025_moe,b08006026,b08006026_moe,b08006027,b08006027_moe,b08006028,b08006028_moe,b08006029,b08006029_moe,b08006030,b08006030_moe,b08006031,b08006031_moe,b08006032,b08006032_moe,b08006033,b08006033_moe,b08006034,b08006034_moe,b08006035,b08006035_moe,b08006036,b08006036_moe,b08006037,b08006037_moe,b08006038,b08006038_moe,b08006039,b08006039_moe,b08006040,b08006040_moe,b08006041,b08006041_moe,b08006042,b08006042_moe,b08006043,b08006043_moe,b08006044,b08006044_moe,b08006045,b08006045_moe,b08006046,b08006046_moe,b08006047,b08006047_moe,b08006048,b08006048_moe,b08006049,b08006049_moe,b08006050,b08006050_moe,b08006051,b08006051_moe
1,Southwest,27930,842,20747,855,17803,854,2944,466,2204,435,483,185,257,111,3879,430,3675,430,0,48,0,48,13,49,191,96,368,153,481,155,331,121,2124,309,13664,565,10129,560,8832,557,1297,273,974,252,201,113,122,71,1886,293,1744,289,0,48,0,48,13,49,129,88,274,128,204,91,247,105,924,187,14266,588,10618,579,8971,573,1647,300,1230,268,282,132,135,82,1993,298,1931,298,0,48,0,48,0,48,62,60,94,77,277,122,84,59,1200,226
2,Delridge Neighborhoods,18280,717,13678,650,11240,623,2438,409,1853,369,398,190,187,101,2985,456,2941,453,10,40,24,44,0,38,10,39,282,117,385,171,157,79,793,184,9390,541,6956,466,5778,442,1178,265,912,226,181,131,85,83,1590,324,1546,322,10,40,24,44,0,38,10,39,166,87,190,141,90,62,398,132,8890,521,6722,489,5462,458,1260,259,941,228,217,120,102,67,1395,311,1395,311,0,38,0,38,0,38,0,38,116,68,195,96,67,60,395,114
3,Greater Duwamish,23165,1099,16339,932,12987,866,3352,528,2465,438,643,269,244,113,4634,561,4173,538,36,54,322,142,103,97,0,45,552,171,721,191,348,137,571,159,12891,836,9304,696,7705,638,1599,320,1165,266,279,153,155,88,2309,376,1999,352,23,52,201,115,86,94,0,45,413,142,397,137,217,97,251,103,10274,619,7035,566,5282,503,1753,338,1300,292,364,173,89,68,2325,370,2174,362,13,48,121,84,17,51,0,45,139,79,324,131,131,96,320,124
4,Southeast,22046,939,15915,812,13286,786,2629,420,2086,370,359,195,184,91,3748,481,3112,455,37,58,398,157,172,93,29,54,401,136,484,164,349,153,1149,258,10925,712,8186,616,7124,597,1062,224,835,198,115,100,112,79,1611,337,1316,305,24,56,224,121,34,50,13,48,301,122,236,119,203,129,388,128,11121,564,7729,493,6162,476,1567,288,1251,265,244,132,72,58,2137,327,1796,314,13,48,174,102,138,89,16,50,100,68,248,118,146,92,761,215
5,Central,17277,741,9172,633,7810,586,1362,337,1038,258,214,195,110,76,3450,450,3430,449,0,34,20,42,0,34,0,34,1129,273,2128,362,244,108,1154,251,8829,589,4770,453,4094,414,676,213,496,173,110,113,70,66,1532,293,1512,292,0,34,20,42,0,34,0,34,741,190,945,241,163,84,678,209,8448,508,4402,438,3716,423,686,186,542,156,104,91,40,43,1918,304,1918,304,0,34,0,34,0,34,0,34,388,148,1183,243,81,60,476,137
6,East,32499,978,12320,807,10940,754,1380,315,1103,294,133,81,144,88,7350,675,7234,676,0,47,9,47,0,47,107,88,1130,268,9588,795,311,119,1800,344,17640,846,6623,623,5974,598,649,181,522,168,27,53,100,69,3765,460,3706,460,0,47,9,47,0,47,50,57,777,208,5224,632,180,101,1071,242,14859,759,5697,525,4966,494,731,204,581,187,106,76,44,56,3585,506,3528,502,0,47,0,47,0,47,57,80,353,147,4364,513,131,73,729,208
7,Northeast,42414,1259,24090,962,20791,923,3299,440,2675,409,290,131,334,130,8136,690,8063,687,20,66,33,62,0,59,20,61,2302,373,4218,506,562,185,3106,416,21652,932,12454,722,10985,706,1469,252,1218,239,74,66,177,93,3643,466,3575,465,20,66,33,62,0,59,15,62,1510,269,1968,348,479,179,1598,294,20762,882,11636,643,9806,603,1830,281,1457,251,216,118,157,82,4493,524,4488,524,0,59,0,59,0,59,5,58,792,236,2250,374,83,69,1508,248
8,North,22378,886,15446,806,12842,762,2604,382,2071,343,313,166,220,104,4282,490,4259,489,0,43,23,48,0,43,0,43,675,187,666,175,322,151,987,209,11786,655,8105,599,7037,574,1068,228,861,213,98,69,109,67,2142,320,2127,319,0,43,15,48,0,43,0,43,375,118,470,157,221,121,473,146,10592,578,7341,498,5805,457,1536,295,1210,272,215,118,111,80,2140,317,2132,317,0,43,8,43,0,43,0,43,300,133,196,83,101,94,514,137
9,Northwest,40650,1078,27723,945,23603,919,4120,536,3511,497,439,185,170,90,6776,591,6741,589,0,54,9,54,0,54,26,58,1525,279,1295,260,449,150,2882,406,20834,777,14049,652,12263,634,1786,277,1536,263,147,86,103,80,3294,401,3268,401,0,54,0,54,0,54,26,58,1092,226,642,183,334,123,1423,285,19816,757,13674,703,11340,678,2334,370,1975,332,292,151,67,66,3482,394,3473,393,0,54,9,54,0,54,0,54,433,156,653,180,115,86,1459,243
10,Ballard,27338,892,18368,816,15697,794,2671,454,2252,434,274,126,145,84,4618,502,4585,504,0,43,17,48,0,43,16,48,1069,226,937,233,382,119,1964,370,14010,617,9396,533,8175,524,1221,239,1076,230,37,51,108,68,2042,329,2026,329,0,43,0,43,0,43,16,48,748,167,414,158,216,91,1194,291,13328,641,8972,566,7522,556,1450,278,1176,264,237,113,37,48,2576,365,2559,370,0,43,17,48,0,43,0,43,321,119,523,171,166,86,770,196
11,Lake Union,29994,1185,15661,869,13374,816,2287,420,1844,361,250,166,193,119,6333,644,6266,641,16,54,51,53,0,42,0,42,1520,305,4070,485,565,204,1845,296,16050,791,8246,622,7164,608,1082,246,847,202,121,94,114,106,2925,448,2920,448,0,42,5,41,0,42,0,42,1110,264,2379,382,369,158,1021,227,13944,852,7415,565,6210,527,1205,239,997,217,129,92,79,65,3408,463,3346,460,16,54,46,52,0,42,0,42,410,146,1691,300,196,125,824,175
12,Magnolia/Queen Anne,36929,1190,22320,984,19195,943,3125,508,2445,418,481,248,199,127,6633,627,6537,625,34,59,24,53,13,53,25,56,869,222,3683,534,430,147,2994,362,19058,1015,11414,763,9931,745,1483,305,1155,257,224,131,104,104,3096,484,3028,482,20,57,10,51,13,53,25,56,730,204,2083,406,295,120,1440,247,17871,927,10906,734,9264,670,1642,328,1290,256,257,177,95,80,3537,398,3509,395,14,53,14,52,0,51,0,51,139,79,1600,420,135,90,1554,261
13,Downtown,9773,593,3350,411,2868,377,482,259,433,254,0,29,49,52,2120,331,2014,327,12,33,51,51,7,29,36,50,148,98,3207,426,52,54,896,234,5657,460,1736,335,1440,261,296,239,253,235,0,29,43,53,1318,264,1249,264,12,33,14,36,7,29,36,50,133,96,1920,320,41,42,509,156,4116,416,1614,301,1428,294,186,83,180,82,0,29,6,29,802,192,765,186,0,29,37,46,0,29,0,29,15,34,1287,254,11,33,387,149
