area_id,area_name,b25032e001,b25032e001_moe,b25032e002,b25032e002_moe,b25032e003,b25032e003_moe,b25032e004,b25032e004_moe,b25032e005,b25032e005_moe,b25032e006,b25032e006_moe,b25032e007,b25032e007_moe,b25032e008,b25032e008_moe,b25032e009,b25032e009_moe,b25032e010,b25032e010_moe,b25032e011,b25032e011_moe
1,Southwest,116,116,52,86,0,48,7,48,0,48,0,48,0,48,57,92,0,48,0,48,0,48
2,Delridge Neighborhoods,125,101,49,53,0,38,0,38,11,42,0,38,54,90,0,38,0,38,11,39,0,38
3,Greater Duwamish,129,87,51,66,9,47,15,50,10,47,0,45,19,53,25,56,0,45,0,45,0,45
4,Southeast,100,96,58,75,0,45,0,45,42,74,0,45,0,45,0,45,0,45,0,45,0,45
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,31,57,17,52,14,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,78,71,18,47,11,44,0,43,49,68,0,43,0,43,0,43,0,43,0,43,0,43
9,Northwest,110,102,27,56,0,54,0,54,63,102,0,54,0,54,9,55,11,55,0,54,0,54
10,Ballard,44,55,9,46,0,43,0,43,0,43,0,43,0,43,21,52,14,45,0,43,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
