area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
1,Southwest,1609,385,1027,344,768,286,768,286,0,48,17,55,17,55,0,48,242,222,173,156,69,81,582,187
2,Delridge Neighborhoods,5536,760,4893,757,3523,723,3341,688,182,185,330,228,330,228,0,38,1040,442,954,389,86,93,643,253
3,Greater Duwamish,20520,1450,18387,1437,13196,1255,12983,1242,213,121,1844,596,1758,575,86,89,3347,1075,3065,1023,282,188,2133,462
4,Southeast,11204,1014,10084,1012,7353,1022,7110,995,243,152,815,358,737,315,78,90,1916,712,1775,649,141,107,1120,289
5,Central,2569,476,1383,402,1216,366,1178,350,38,72,96,137,96,137,0,34,71,82,71,82,0,34,1186,283
6,East,4169,614,1676,472,1353,436,1353,436,0,47,204,146,204,146,0,47,119,93,119,93,0,47,2493,418
7,Northeast,8122,913,4605,642,3473,580,3473,580,0,59,392,242,355,224,37,71,740,279,676,260,64,85,3517,702
8,North,5669,708,3838,685,2520,558,2442,529,78,84,366,228,309,197,57,65,952,451,916,447,36,50,1831,380
9,Northwest,6407,719,4448,666,3584,660,3540,658,44,80,57,79,57,79,0,54,807,280,770,269,37,57,1959,390
10,Ballard,2119,479,1452,417,1274,395,1274,395,0,43,69,82,69,82,0,43,109,133,85,107,24,46,667,299
11,Lake Union,4466,704,1411,537,887,306,873,303,14,45,333,425,241,290,92,149,191,113,191,113,0,42,3055,560
12,Magnolia/Queen Anne,3510,636,1874,520,1651,524,1651,524,0,51,0,51,0,51,0,51,223,203,210,194,13,54,1636,385
13,Downtown,3566,562,2144,525,1539,404,1525,403,14,33,253,252,173,149,80,119,352,279,352,279,0,29,1422,251
