area_id,area_name,b14007f001,b14007f001_moe,b14007f002,b14007f002_moe,b14007f003,b14007f003_moe,b14007f004,b14007f004_moe,b14007f005,b14007f005_moe,b14007f006,b14007f006_moe,b14007f007,b14007f007_moe,b14007f008,b14007f008_moe,b14007f009,b14007f009_moe,b14007f010,b14007f010_moe,b14007f011,b14007f011_moe,b14007f012,b14007f012_moe,b14007f013,b14007f013_moe,b14007f014,b14007f014_moe,b14007f015,b14007f015_moe,b14007f016,b14007f016_moe,b14007f017,b14007f017_moe,b14007f018,b14007f018_moe,b14007f019,b14007f019_moe
1,Southwest,320,192,174,147,0,48,0,48,0,48,0,48,0,48,0,48,12,48,39,62,0,48,15,51,0,48,0,48,0,48,12,48,96,109,0,48,146,91
2,Delridge Neighborhoods,935,417,245,185,42,62,27,56,66,74,0,38,0,38,0,38,11,41,10,39,0,38,0,38,10,40,0,38,21,48,0,38,58,65,0,38,690,312
3,Greater Duwamish,766,421,168,150,0,45,5,47,33,53,19,54,39,59,6,48,0,45,0,45,14,50,6,45,16,51,8,45,0,45,0,45,22,50,0,45,598,338
4,Southeast,793,555,345,327,0,45,43,65,48,81,0,45,0,45,0,45,0,45,47,81,94,117,48,81,0,45,0,45,0,45,49,84,16,49,0,45,448,257
5,Central,300,154,21,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,12,38,0,34,0,34,9,35,279,145
6,East,654,195,199,94,0,47,0,47,0,47,12,48,0,47,0,47,11,47,0,47,0,47,3,45,3,45,0,47,0,47,0,47,115,69,55,69,455,170
7,Northeast,831,318,611,290,27,64,11,60,21,66,0,59,10,59,11,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,452,275,79,84,220,131
8,North,1177,434,182,118,0,43,0,43,0,43,0,43,0,43,27,48,16,48,0,43,26,49,0,43,16,50,15,48,0,43,42,79,33,51,7,43,995,380
9,Northwest,1273,396,303,161,0,54,31,62,15,58,21,60,9,54,0,54,0,54,0,54,0,54,21,57,0,54,0,54,0,54,54,76,65,73,87,94,970,325
10,Ballard,368,202,58,67,29,61,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,29,51,0,43,310,172
11,Lake Union,569,259,108,100,14,45,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,62,74,32,51,461,243
12,Magnolia/Queen Anne,637,220,158,98,0,51,0,51,0,51,0,51,0,51,0,51,19,57,0,51,10,51,0,51,48,74,0,51,0,51,0,51,81,68,0,51,479,195
13,Downtown,393,163,127,101,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,127,101,0,29,266,130
