area_id,area_name,b01002f001,b01002f001_moe,b01002f002,b01002f002_moe,b01002f003,b01002f003_moe
1,Southwest,32,8,18,12,32,0
2,Delridge Neighborhoods,117,34,91,56,148,54
3,Greater Duwamish,62,51,116,77,54,50
4,Southeast,55,47,60,80,55,34
5,Central,70,60,74,80,64,79
6,East,29,4,27,9,30,7
7,Northeast,91,30,70,54,89,37
8,North,161,36,175,28,166,28
9,Northwest,222,59,211,34,286,145
10,Ballard,56,48,58,47,44,41
11,Lake Union,46,36,38,44,47,29
12,Magnolia/Queen Anne,94,29,76,46,101,37
13,Downtown,57,25,42,24,69,44
