area_id,area_name,b13002h001,b13002h001_moe,b13002h002,b13002h002_moe,b13002h003,b13002h003_moe,b13002h004,b13002h004_moe,b13002h005,b13002h005_moe,b13002h006,b13002h006_moe,b13002h007,b13002h007_moe
1,Southwest,10032,523,500,147,470,142,30,55,9532,524,4551,366,4981,475
2,Delridge Neighborhoods,5002,405,294,121,242,105,52,55,4708,411,1917,247,2791,371
3,Greater Duwamish,3020,337,218,108,181,96,37,65,2802,324,1322,218,1480,272
4,Southeast,4431,404,217,89,217,89,0,45,4214,412,1797,273,2417,359
5,Central,5302,439,359,137,316,126,43,61,4943,443,1618,226,3325,409
6,East,12227,759,260,114,196,100,64,70,11967,764,2800,387,9167,688
7,Northeast,17835,953,690,162,609,155,81,68,17145,965,5158,390,11987,918
8,North,6528,494,262,104,186,76,76,80,6266,490,2763,304,3503,403
9,Northwest,14047,695,768,173,752,171,16,53,13279,704,5928,463,7351,640
10,Ballard,9812,569,635,185,613,180,22,44,9177,599,4074,342,5103,545
11,Lake Union,11269,787,363,139,315,134,48,55,10906,796,2873,323,8033,761
12,Magnolia/Queen Anne,13868,869,639,183,571,175,68,74,13229,876,4798,393,8431,838
13,Downtown,2658,364,27,40,27,40,0,29,2631,365,759,177,1872,321
