area_id,area_name,b01002a001,b01002a001_moe,b01002a002,b01002a002_moe,b01002a003,b01002a003_moe
1,Southwest,393,8,390,9,396,12
2,Delridge Neighborhoods,317,11,314,53,321,18
3,Greater Duwamish,411,25,422,33,390,43
4,Southeast,329,12,331,13,336,19
5,Central,255,9,261,13,254,14
6,East,425,13,431,14,427,18
7,Northeast,604,16,598,20,605,22
8,North,419,14,407,18,440,21
9,Northwest,647,16,620,16,664,18
10,Ballard,322,6,314,9,329,10
11,Lake Union,332,9,339,13,326,11
12,Magnolia/Queen Anne,413,10,416,11,409,14
13,Downtown,222,18,219,25,217,37
