area_id,area_name,b21100001,b21100001_moe,b21100002,b21100002_moe,b21100003,b21100003_moe,b21100004,b21100004_moe,b21100005,b21100005_moe,b21100006,b21100006_moe,b21100007,b21100007_moe,b21100008,b21100008_moe,b21100009,b21100009_moe
1,Southwest,3791,413,3257,363,534,178,15,51,287,151,112,79,8,48,41,48,71,60
2,Delridge Neighborhoods,1978,295,1606,279,372,127,12,42,191,109,19,50,42,50,108,62,0,38
3,Greater Duwamish,2108,324,1910,316,198,79,0,45,111,66,20,45,0,45,56,54,11,45
4,Southeast,2250,320,1872,283,378,135,46,47,112,84,107,74,29,49,31,51,53,69
5,Central,1417,265,1204,244,213,113,8,36,82,81,50,46,13,39,55,75,5,34
6,East,2634,360,2406,342,228,107,0,47,68,55,11,48,52,74,31,50,66,71
7,Northeast,3247,355,2919,343,328,124,0,59,118,77,70,72,11,60,83,72,46,74
8,North,2053,270,1782,254,271,98,20,47,93,57,20,44,35,54,86,67,17,49
9,Northwest,4348,443,3731,400,617,176,42,63,242,118,66,70,12,54,175,112,80,66
10,Ballard,2436,322,2081,266,355,187,23,51,93,64,133,157,13,45,66,76,27,59
11,Lake Union,2126,310,1863,283,263,139,14,45,77,59,22,45,35,48,75,116,40,61
12,Magnolia/Queen Anne,3469,395,3261,391,208,104,11,51,99,90,37,57,9,51,52,63,0,51
13,Downtown,1254,268,1056,242,198,110,10,29,9,32,12,32,50,54,90,88,27,48
