area_id,area_name,b23007001,b23007001_moe,b23007002,b23007002_moe,b23007003,b23007003_moe,b23007004,b23007004_moe,b23007005,b23007005_moe,b23007006,b23007006_moe,b23007007,b23007007_moe,b23007008,b23007008_moe,b23007009,b23007009_moe,b23007010,b23007010_moe,b23007011,b23007011_moe,b23007012,b23007012_moe,b23007013,b23007013_moe,b23007014,b23007014_moe,b23007015,b23007015_moe,b23007016,b23007016_moe,b23007017,b23007017_moe,b23007018,b23007018_moe,b23007019,b23007019_moe,b23007020,b23007020_moe,b23007021,b23007021_moe,b23007022,b23007022_moe,b23007023,b23007023_moe,b23007024,b23007024_moe,b23007025,b23007025_moe,b23007026,b23007026_moe,b23007027,b23007027_moe,b23007028,b23007028_moe,b23007029,b23007029_moe,b23007030,b23007030_moe,b23007031,b23007031_moe,b23007032,b23007032_moe,b23007033,b23007033_moe,b23007034,b23007034_moe,b23007035,b23007035_moe,b23007036,b23007036_moe,b23007037,b23007037_moe,b23007038,b23007038_moe,b23007039,b23007039_moe,b23007040,b23007040_moe,b23007041,b23007041_moe,b23007042,b23007042_moe,b23007043,b23007043_moe,b23007044,b23007044_moe,b23007045,b23007045_moe,b23007046,b23007046_moe,b23007047,b23007047_moe,b23007048,b23007048_moe,b23007049,b23007049_moe,b23007050,b23007050_moe,b23007051,b23007051_moe,b23007052,b23007052_moe,b23007053,b23007053_moe,b23007054,b23007054_moe,b23007055,b23007055_moe,b23007056,b23007056_moe,b23007057,b23007057_moe,b23007058,b23007058_moe,b23007059,b23007059_moe
1,Southwest,11615,463,5199,308,4060,266,3890,267,3825,269,2979,275,2932,277,47,60,846,185,65,56,65,56,65,56,0,48,0,48,170,88,145,84,145,84,0,48,25,52,1139,250,201,93,178,86,178,86,0,48,23,58,938,232,820,218,810,217,10,49,118,87,6416,423,5518,403,4001,378,3829,367,3253,351,3137,347,116,71,576,157,172,106,158,104,139,101,19,54,14,51,1517,204,398,122,398,122,0,48,1119,182,898,207,261,125,192,115,184,113,8,48,69,57,637,169,382,124,369,122,13,49,255,119
2,Delridge Neighborhoods,7898,410,3790,349,2193,266,2112,263,2068,264,1492,241,1360,227,132,104,576,165,44,53,44,53,44,53,0,38,0,38,81,60,81,60,75,59,6,38,0,38,1597,281,324,111,292,105,292,105,0,38,32,50,1273,255,1068,247,1014,243,54,53,205,100,4108,385,3013,331,2277,301,2089,290,1631,269,1562,256,69,81,458,147,188,98,188,98,172,94,16,45,0,38,736,153,388,117,361,110,27,58,348,107,1095,249,434,187,423,187,373,173,50,79,11,37,661,175,370,114,347,110,23,45,291,123
3,Greater Duwamish,10023,429,4854,335,3270,341,3062,328,2892,311,2149,298,2070,296,79,66,743,198,170,112,139,106,100,92,39,70,31,54,208,110,117,70,104,69,13,45,91,94,1584,281,391,143,362,139,362,139,0,45,29,48,1193,263,1112,253,988,242,124,92,81,76,5169,372,3355,319,2290,281,2146,275,1725,260,1655,261,70,63,421,128,144,85,133,83,133,83,0,45,11,47,1065,186,293,107,293,107,0,45,772,165,1814,272,674,180,589,173,505,160,84,73,85,75,1140,231,693,196,676,194,17,52,447,145
4,Southeast,10698,475,4709,371,3003,348,2732,319,2595,312,1880,278,1841,275,39,76,715,186,137,93,137,93,137,93,0,45,0,45,271,153,244,152,188,135,56,81,27,51,1706,296,407,147,345,136,345,136,0,45,62,69,1299,282,1139,267,1037,249,102,107,160,100,5989,438,4027,380,2792,349,2587,339,2034,311,1862,289,172,124,553,145,205,103,193,102,167,100,26,50,12,46,1235,200,413,138,413,138,0,45,822,162,1962,318,544,170,348,139,305,132,43,55,196,112,1418,268,885,223,836,217,49,60,533,160
5,Central,5827,366,2566,267,1800,239,1715,235,1715,235,1193,216,1117,212,76,56,522,145,0,34,0,34,0,34,0,34,0,34,85,70,85,70,85,70,0,34,0,34,766,210,157,89,143,86,143,86,0,34,14,38,609,191,584,189,540,180,44,62,25,41,3261,306,2512,273,1759,239,1710,236,1399,214,1364,213,35,41,311,121,49,50,40,49,40,49,0,34,9,36,753,188,400,159,353,149,47,64,353,101,749,189,161,100,97,82,97,82,0,34,64,66,588,168,201,106,201,106,0,34,387,145
6,East,6914,493,2277,276,1605,248,1536,249,1493,250,896,178,866,175,30,51,597,202,43,60,43,60,32,59,11,48,0,47,69,58,52,59,52,59,0,47,17,46,672,169,131,72,59,57,59,57,0,47,72,65,541,170,444,156,438,156,6,46,97,73,4637,427,4129,401,3220,386,3105,382,2440,360,2255,331,185,191,665,147,115,82,55,58,55,58,0,47,60,74,909,185,268,137,252,135,16,50,641,129,508,162,227,117,185,113,120,80,65,89,42,51,281,127,136,104,118,100,18,51,145,80
7,Northeast,14739,465,6562,289,5514,278,5201,275,5081,275,3577,278,3535,279,42,63,1504,220,120,78,107,73,101,74,6,58,13,62,313,105,236,101,236,101,0,59,77,69,1048,192,261,111,251,110,236,110,15,58,10,60,787,162,746,159,688,158,58,71,41,62,8177,434,6797,389,5158,376,4988,376,3793,355,3623,341,170,102,1195,202,170,90,150,88,134,86,16,62,20,60,1639,197,360,109,348,108,12,61,1279,171,1380,245,457,144,352,136,332,133,20,64,105,70,923,201,577,166,564,165,13,60,346,119
8,North,9165,448,3678,329,2701,263,2534,262,2448,256,1666,228,1554,223,112,75,782,180,86,56,54,49,47,49,7,43,32,51,167,78,140,73,127,72,13,45,27,48,977,239,142,89,131,87,120,85,11,45,11,46,835,228,657,200,657,200,0,43,178,98,5487,379,4107,349,2926,298,2768,284,2360,269,2304,263,56,64,408,126,158,101,147,99,112,86,35,61,11,43,1181,193,387,134,379,133,8,43,794,152,1380,237,631,187,490,173,436,158,54,72,141,98,749,176,490,147,460,140,30,56,259,102
9,Northwest,15452,570,6526,382,5252,344,5089,349,4897,343,3628,331,3379,321,249,144,1269,229,192,100,116,75,83,69,33,60,76,82,163,80,153,79,153,79,0,54,10,55,1274,239,354,130,346,129,323,128,23,57,8,54,920,205,822,186,810,186,12,55,98,102,8926,513,7438,504,5507,456,5220,453,4406,426,4220,421,186,89,814,171,287,102,213,90,192,88,21,57,74,71,1931,251,798,181,735,168,63,93,1133,185,1488,243,291,105,177,91,148,85,29,64,114,71,1197,226,642,171,558,153,84,93,555,153
10,Ballard,10539,437,4435,301,3435,289,3260,276,3113,272,2230,269,2004,239,226,123,883,182,147,82,120,78,120,78,0,43,27,48,175,100,127,92,127,92,0,43,48,58,1000,216,355,146,355,146,308,136,47,55,0,43,645,167,615,165,615,165,0,43,30,47,6104,424,5248,404,3944,392,3737,391,3201,373,3042,363,159,99,536,145,207,83,207,83,207,83,0,43,0,43,1304,194,531,148,523,148,8,44,773,140,856,205,221,114,175,106,175,106,0,43,46,53,635,167,410,136,395,134,15,47,225,103
