area_id,area_name,b13002d001,b13002d001_moe,b13002d002,b13002d002_moe,b13002d003,b13002d003_moe,b13002d004,b13002d004_moe,b13002d005,b13002d005_moe,b13002d006,b13002d006_moe,b13002d007,b13002d007_moe
1,Southwest,1017,204,71,69,48,58,23,58,946,200,369,124,577,167
2,Delridge Neighborhoods,1629,285,118,81,75,68,43,53,1511,277,709,160,802,242
3,Greater Duwamish,4809,549,206,126,156,111,50,72,4603,545,2196,283,2407,483
4,Southeast,2793,365,151,86,118,78,33,54,2642,355,1255,217,1387,310
5,Central,946,207,0,34,0,34,0,34,946,207,325,110,621,177
6,East,1524,274,39,63,39,63,0,47,1485,271,357,120,1128,242
7,Northeast,4905,590,129,75,115,74,14,60,4776,588,1116,210,3660,560
8,North,1793,296,75,76,75,76,0,43,1718,290,602,145,1116,261
9,Northwest,2797,378,164,100,101,82,63,78,2633,368,1186,240,1447,292
10,Ballard,1033,270,52,53,31,51,21,45,981,267,503,200,478,184
11,Lake Union,1818,354,23,46,23,46,0,42,1795,353,461,166,1334,318
12,Magnolia/Queen Anne,1786,347,92,96,92,96,0,51,1694,339,654,185,1040,300
13,Downtown,932,212,17,37,17,37,0,29,915,211,380,124,535,172
